collective_deg,radial_index,r_over_R,geometric_pitch_deg,alpha_mean_deg,alpha_min_deg,alpha_max_deg,radial_thrust_contribution_N,total_thrust_N,CT_over_sigma,total_torque_Nm,induced_initial_mps,induced_final_mps,BEMT_thrust_N,momentum_thrust_N,closure_residual_N,outer_iterations,exit_reason,diagnostic_converged,flap_converged,flap_exit_reason,has_NaN,has_Inf,has_unexpected_complex,denominator_near_zero,thrust_sign_jump,branch_switch,region_class,production_returned,production_numerical_converged,production_physical_converged,production_success,production_physical_status,production_physical_branch_supported,production_closure_residual_satisfied,production_closure_residual_N,production_error_identifier,production_thrust_N,production_torque_Nm,production_induced_velocity_mps,pitch_025R_deg,pitch_050R_deg,pitch_075R_deg,pitch_090R_deg,alpha_mean_025R_deg,alpha_mean_050R_deg,alpha_mean_075R_deg,alpha_mean_090R_deg
4,1,0.214166666666667,3.75,3.74992952502393,3.74991443163323,3.74994461841463,167.955776407376,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,2,0.2825,3.25,3.24994657206829,3.24993147867759,3.24996166545899,254.829138700683,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,3,0.350833333333333,2.75,2.74995697845879,2.74994188506809,2.74997207184949,334.324994026293,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,4,0.419166666666667,2.25,2.24996399191084,2.24994889852014,2.24997908530153,392.215361834808,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,5,0.4875,1.75,1.74996903919855,1.74995394580785,1.74998413258925,414.105846519656,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,6,0.555833333333333,1.25,1.24997284547399,1.24995775208329,1.24998793886469,385.561635490851,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,7,0.624166666666667,0.75,0.749975818332644,0.749960724941947,0.749990911723342,292.237846577008,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,8,0.6925,0.25,0.249978204489952,0.249963111099254,0.24999329788065,120.011385115592,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,9,0.760833333333333,-0.250000000000001,-0.250019837972454,-0.250034931363152,-0.250004744581756,-144.888662734534,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,10,0.829166666666667,-0.75,-0.750018203084271,-0.750033296474969,-0.750003109693573,-515.755094218102,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
