configuration,supportedPointCount,CT_MAPE_pct,CP_MAPE_pct,FM_MAPE_pct,CT_meanSigned_pct,CP_meanSigned_pct,FM_meanSigned_pct,CT_deltaFromRigid_pp,CP_deltaFromRigid_pp,FM_deltaFromRigid_pp
M1_B_RIGID_REFERENCE,6,37.8538087585694,50.5150011616384,7.54801210352685,-37.8538087585694,-50.5150011616384,-1.2554752196209,0,0,0
M1_D_BLADE_GJ_ONLY,6,45.9356679725203,56.8726555920434,10.7462091628738,-45.9356679725203,-56.8726555920434,-7.99607063897821,8.08185921395089,6.35765443040496,3.19819705934697
M1_D_PITCH_LINK_ONLY,6,39.6086289188849,52.1490494074726,7.96764138341332,-39.6086289188849,-52.1490494074726,-2.18531906155962,1.75482016031546,1.63404824583421,0.419629279886466
M1_D_FULL_GJ_KPL,6,47.4346213684413,58.124600579171,11.5459757381492,-47.4346213684413,-58.124600579171,-9.14109452743304,9.58081260987191,7.60959941753259,3.9979636346223
