pointId,betaMDeg,speedMps,productionStatus,productionElevatorLowerDeg,productionElevatorUpperDeg,productionElevatorDeg,productionPitchMomentGapNm,productionResidualNorm,unconstrainedStatus,unconstrainedElevatorDeg,unconstrainedThetaDeg,unconstrainedResidualNorm,elevatorExceedanceDeg,equivalentAdditionalTailFzN,equivalentTailArmXM,equivalentCGShiftXM,equivalentCLelevatorDelta,equivalentWingCm0Delta,failureClass,note
B75_V040,75,40,FAILED,-20,20,-20.0000000382902,-6490.49574232822,4.60327935294579,FAILED,-52.9099628788074,35.1029600258068,2.94032395890706,32.9099628788074,1270.48722887302,23.1153154237799,-0.230194004525444,0.877324604453937,0.238338862419816,MULTIPLE_CAUSES,NaN
B75_V060,75,60,FAILED,-20,20,-20.000000018223,-1668.28266482743,1.31475631594779,CREDIBLE,-30.3824851165741,21.936465202941,9.55658043077672e-10,10.3824851165741,326.55931133131,-6.51784953701808,-0.0341243155282092,0.0996503853599161,0.0278335563155166,CONTROL_AUTHORITY_LIMITED,NaN
B75_V080,75,80,CREDIBLE,-20,20,-9.65600325152566,-2.06072804900259e-05,1.48779934452059e-09,CREDIBLE,-9.65600325988156,8.09144444423798,3.69451086101171e-09,0,4.03378843832205e-06,-5.10866666619763,-3.53747972335416e-10,1.38719613690806e-09,1.9409542668333e-10,NONE_CREDIBLE_BASELINE,NaN
