pointId,betaMDeg,speedMps,mode,status,thetaDeg,collectiveDeg,cyclicLongDeg,elevatorDeg,dynamicResidualNorm,conditionNumber,minimumMarginFraction,elapsedSeconds,failureReason
B15_V010,15,10,helicopter_longitudinal,CREDIBLE,12.3820209688617,16.0105311519191,-7.08011715992741,0,1.00452162802799e-09,68.7633613119402,0.228721873598844,24.4339852,
B15_V020,15,20,helicopter_longitudinal,CREDIBLE,9.91676953445173,14.8963708461668,-11.0438591110966,0,4.49261230680229e-10,50.8797716444042,0.212805297802383,11.8980117,
B15_V030,15,30,helicopter_longitudinal,CREDIBLE,7.37403477030876,14.1926306600186,-13.8758387239571,0,8.76803522202705e-10,48.4958079276194,0.202751866571695,18.3772233,
B45_V025,45,25,conversion_longitudinal,CREDIBLE,27.750813924878,14.5369996586556,-27.2371391951457,-15.5640795400833,2.57539414387248e-10,71.241703803618,0.103559801073172,41.0710112,
B45_V035,45,35,conversion_longitudinal,CREDIBLE,21.7510230344786,14.4873859077353,-28.9298654307044,-16.5313516746882,6.59747809055758e-10,69.1603109492885,0.0867162081327945,18.5303309,
B45_V045,45,45,conversion_longitudinal,CREDIBLE,16.7851445317557,15.2776812007656,-26.6209074654747,-15.2119471231284,1.21937822608705e-09,70.9871779056163,0.119701321921791,21.5335236,
B75_V040,75,40,airplane_longitudinal,FAILED,19.1863561709923,18.4417137879241,0,-20.0000000382902,4.60327935294579,144.513158256394,-9.57254564007022e-10,35.1234502,solver or full dynamic-equilibrium residual failed
B75_V060,75,60,airplane_longitudinal,FAILED,15.4011460963953,23.272499462111,0,-20.000000018223,1.31475631594779,78.0487435606187,-4.55575019241599e-10,45.90776,solver or full dynamic-equilibrium residual failed
B75_V080,75,80,airplane_longitudinal,CREDIBLE,8.0914444442746,29.4985099934088,0,-9.65600325152566,1.48779934452059e-09,30.2339473147451,0.258599918711858,51.4606494,
