pointId,betaMDeg,speedMps,derivativeName,value,outputName,inputName,units,differenceStep,limitActive,maximumMatrixStepVariation,parameterSource
B15_V010,15,10,dr_dbetaDiff,-5.858803221812,r,betaDiff,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_dbetaSymDot,0,r,betaSymDot,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_dbetaDiffDot,0,r,betaDiffDot,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,du_dbetaSymCommand,0,u,betaSymCommand,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,du_dbetaDiffCommand,0,u,betaDiffCommand,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,du_dlateralCyclic,-3.03164900652739e-12,u,lateralCyclic,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,du_daileron,0,u,aileron,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,du_drudder,0,u,rudder,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dv_dbetaSymCommand,0,v,betaSymCommand,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dv_dbetaDiffCommand,0,v,betaDiffCommand,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dv_dlateralCyclic,4.78926973432806,v,lateralCyclic,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dv_daileron,0,v,aileron,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dv_drudder,0.0228666666666667,v,rudder,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dw_dbetaSymCommand,0,w,betaSymCommand,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dw_dbetaDiffCommand,0,w,betaDiffCommand,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dw_dlateralCyclic,0,w,lateralCyclic,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dw_daileron,0,w,aileron,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dw_drudder,0,w,rudder,(m/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dp_dbetaSymCommand,0,p,betaSymCommand,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dp_dbetaDiffCommand,0,p,betaDiffCommand,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dp_dlateralCyclic,0.202749793957179,p,lateralCyclic,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dp_daileron,0.0214446744371658,p,aileron,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dp_drudder,0.00098432936428428,p,rudder,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dq_dbetaSymCommand,0.267835318707782,q,betaSymCommand,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dq_dbetaDiffCommand,0,q,betaDiffCommand,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dq_dlateralCyclic,4.56740256342622e-13,q,lateralCyclic,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dq_daileron,0,q,aileron,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dq_drudder,0,q,rudder,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_dbetaSymCommand,0,r,betaSymCommand,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_dbetaDiffCommand,0,r,betaDiffCommand,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_dlateralCyclic,0.026187365522741,r,lateralCyclic,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_daileron,0.000909735777126628,r,aileron,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V010,15,10,dr_drudder,-0.0129066442019996,r,rudder,(rad/s^2)/(rad),0.0001,0,0.00117177549961752,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Xu,1.57637464993362e-05,u,u,(m/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Xw,0.0900724648230577,u,w,(m/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Zu,-0.0566736495458099,w,u,(m/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Zw,-0.406759334147136,w,w,(m/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Mu,-0.00312704151587115,q,u,(rad/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Mw,-0.0232757305496642,q,w,(rad/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Mq,-0.300369819495705,q,q,(rad/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Yv,-0.0373212807537976,v,v,(m/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Yp,3.32759852808663,v,p,(m/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Yr,-19.7108721899819,v,r,(m/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Lv,-0.0132107508742914,p,v,(rad/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Lp,-2.34405734149239,p,p,(rad/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Lr,0.144471535121117,p,r,(rad/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Nv,0.00840646045081583,r,v,(rad/s^2)/(m/s),0.05,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Np,-0.246669319033823,r,p,(rad/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,Nr,-0.0140679554836221,r,r,(rad/s^2)/(rad/s),0.001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dbetaSym,7.88560826036549,u,betaSym,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dbetaDiff,1.51567647321826e-12,u,betaDiff,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dbetaSymDot,0,u,betaSymDot,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dbetaDiffDot,0,u,betaDiffDot,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dbetaSym,-1.51584300667196e-12,v,betaSym,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dbetaDiff,0.514598953339676,v,betaDiff,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dbetaSymDot,0,v,betaSymDot,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dbetaDiffDot,0,v,betaDiffDot,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dbetaSym,5.29483344952193,w,betaSym,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dbetaDiff,-6.06359407129275e-12,w,betaDiff,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dbetaSymDot,0,w,betaSymDot,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dbetaDiffDot,0,w,betaDiffDot,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dp_dbetaSym,-8.16324785546385e-12,p,betaSym,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dp_dbetaDiff,8.72241051206183,p,betaDiff,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dp_dbetaSymDot,0,p,betaSymDot,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dp_dbetaDiffDot,0,p,betaDiffDot,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dq_dbetaSym,-0.50918792187379,q,betaSym,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dq_dbetaDiff,-3.04423153352218e-13,q,betaDiff,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dq_dbetaSymDot,-0.107134127483125,q,betaSymDot,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dq_dbetaDiffDot,0,q,betaDiffDot,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dr_dbetaSym,-9.55679979597335e-13,r,betaSym,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dr_dbetaDiff,-5.17410592137701,r,betaDiff,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dr_dbetaSymDot,0,r,betaSymDot,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dr_dbetaDiffDot,0,r,betaDiffDot,(rad/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dbetaSymCommand,0,u,betaSymCommand,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dbetaDiffCommand,0,u,betaDiffCommand,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_dlateralCyclic,0,u,lateralCyclic,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_daileron,0,u,aileron,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,du_drudder,0,u,rudder,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dbetaSymCommand,0,v,betaSymCommand,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dbetaDiffCommand,0,v,betaDiffCommand,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_dlateralCyclic,4.55003717745493,v,lateralCyclic,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_daileron,0,v,aileron,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dv_drudder,0.0914666666666667,v,rudder,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dbetaSymCommand,0,w,betaSymCommand,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dbetaDiffCommand,0,w,betaDiffCommand,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
B15_V020,15,20,dw_dlateralCyclic,0,w,lateralCyclic,(m/s^2)/(rad),0.0001,0,3.63916932928714e-06,NUMERICAL_THREE_STEP_INTERNAL
