pointId,modeId,localModeIndex,realPartPerSecond,imagPartRadPerSecond,dampingRatio,frequencyHz,modeName,matchingConfidence
B15_V010,1,1,0,0,-0,0,spiral-like,1
B15_V010,2,2,-1.78705459837072,0,1,0,roll-like,1
B15_V010,3,3,-0.0349035589564678,0.392653319012613,0.0885424121517665,0.0624927166422962,dutch-roll-like,1
B15_V010,4,4,-0.0349035589564678,-0.392653319012613,0.0885424121517665,0.0624927166422962,dutch-roll-like,1
B15_V010,5,5,0.105512755965404,0,-1,0,spiral-like,1
B15_V010,6,6,-0.286909674078778,0.417074889466288,0.56675775742259,0.0663795302980655,short-period-like,1
B15_V010,7,7,-0.286909674078778,-0.417074889466288,0.56675775742259,0.0663795302980655,short-period-like,1
B15_V010,8,8,0.228446180367758,0,-1,0,longitudinal aperiodic,1
B15_V010,9,9,-0.0490464033801025,0,1,0,longitudinal aperiodic,1
B15_V010,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,1
B15_V010,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,1
B15_V010,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,1
B15_V010,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,1
B15_V020,1,1,0,0,-0,0,spiral-like,1
B15_V020,2,2,-2.34657414497128,0,1,0,roll-like,0.854386287727811
B15_V020,3,3,-0.0645326441584508,0.505957537186511,0.126520614323791,0.0805256430378346,dutch-roll-like,0.921229002196447
B15_V020,4,4,-0.0645326441584508,-0.505957537186511,0.126520614323791,0.0805256430378346,dutch-roll-like,0.921229002196447
B15_V020,6,5,-0.401553807125402,0.698392670051163,0.498450621283159,0.11115264565779,short-period-like,0.772097190207973
B15_V020,7,6,-0.401553807125402,-0.698392670051163,0.498450621283159,0.11115264565779,short-period-like,0.772097190207973
B15_V020,5,7,0.0801928555583732,0,-1,0,spiral-like,0.865283161299401
B15_V020,9,8,-0.000311118344310467,0,1,0,longitudinal aperiodic,0.968635367899045
B15_V020,8,9,0.0963053426987721,0,-1,0,longitudinal aperiodic,0.909528449763315
B15_V020,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.992137907941434
B15_V020,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.992137907941434
B15_V020,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.950207260834175
B15_V020,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.950207260834175
B15_V030,1,1,0,0,-0,0,spiral-like,1
B15_V030,2,2,-2.79489906157509,0,1,0,roll-like,0.92690536909648
B15_V030,3,3,-0.0599790931636124,0.676750725289596,0.0882819979029243,0.107708223170865,dutch-roll-like,0.922937812527096
B15_V030,4,4,-0.0599790931636124,-0.676750725289596,0.0882819979029243,0.107708223170865,dutch-roll-like,0.922937812527096
B15_V030,5,5,0.0147103948646529,0,-1,0,spiral-like,0.797628200479595
B15_V030,6,6,-0.531493316486964,1.04141900123305,0.45457694529423,0.165746981876064,short-period-like,0.848463424266802
B15_V030,7,7,-0.531493316486964,-1.04141900123305,0.45457694529423,0.165746981876064,short-period-like,0.848463424266802
B15_V030,9,8,-0.0402328631444697,0,1,0,longitudinal aperiodic,0.936685060264428
B15_V030,8,9,0.0697465239266821,0,-1,0,longitudinal aperiodic,0.961862161298589
B15_V030,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.983553350987174
