implementation,validCount,failureCount,commonCollectiveMinDeg,commonCollectiveMaxDeg,MAE_CT_over_sigma,RMSE_CT_over_sigma,normalizedMAE_by_observed_range,maximumAbsoluteError,meanAbsoluteRelativeError,experimentSlopePerDeg,modelSlopePerDeg,slopeSignAgreement,failedCollectiveDeg,evidenceStatement
CURRENT_PRODUCTION,6,6,12,22,0.0643401712415,0.0643726685288,0.722923272376,0.0664036682286,0.398218242455,0.00903,0.0092199219804,1,0;2;4;6;8;10,PUBLIC_FIGURE_COMPONENT_LEVEL_CORRELATION_WITH_LARGE_BIAS
NUAA_PUBLIC_FORMULA_REFERENCE,7,5,10,22,0.0640525149741,0.0640843695761,0.589259567379,0.0664036682286,0.430770371799,0.0093,0.00931083013748,1,0;2;4;6;8,PUBLIC_FIGURE_COMPONENT_LEVEL_CORRELATION_WITH_LARGE_BIAS
