pointId,mode,betaMDeg,speedMps,thetaDeg,alphaDeg,collectiveDeg,cyclicLongDeg,elevatorDeg,dynamicResidualNorm,commandDynamicResidualNorm,forceResidualNormN,momentResidualNormNm,conditionNumber,minimumControlMarginFraction,credible,physicalConverged,physicalBranchSupported,physicalStatus,linear9Finite,linear13TorqueFinite,linear13CommandFinite,linear13TorqueStepVariation,linear13CommandStepVariation,finiteReal
B15_V020,helicopter_longitudinal,15,20,9.91676953445173,9.91676953445173,14.8963708461668,-11.0438591110966,0,4.49261230268506e-10,4.49261230268506e-10,2.63172818247138e-06,2.9031401515372e-06,50.8797716444042,0.212805297802383,1,1,1,PHYSICAL_CONVERGED,1,1,1,3.81177490856473e-06,3.63916910848541e-06,1
B45_V035,conversion_longitudinal,45,35,21.7510230344786,21.7510230344786,14.4873859077353,-28.9298654307044,-16.5313516746882,6.59748363986584e-10,6.59748363986584e-10,3.72977424145993e-06,6.54349751982863e-06,69.1603109492734,0.0867162081327945,1,1,1,PHYSICAL_CONVERGED,1,1,1,2.9610534688198e-06,2.84991842833238e-06,1
B75_V080,airplane_longitudinal,75,80,8.0914444442746,8.0914444442746,29.4985099934088,0,-9.65600325152566,1.48779934452059e-09,1.48779934452059e-09,7.86988793043739e-06,2.06072804900285e-05,30.2339473147451,0.258599918711858,1,1,1,PHYSICAL_CONVERGED,1,1,1,2.90877994957707e-06,2.84431573476017e-06,1
