pointId,betaMDeg,speedMps,perturbationKind,perturbationName,stepLevel,step,stepUnit,coefficientName,dimensionalDerivative,dimensionalUnit,coefficientDerivative,coefficientUnit,plusFxN,plusFyN,plusFzN,plusMxNm,plusMyNm,plusMzNm,minusFxN,minusFyN,minusFzN,minusMxNm,minusMyNm,minusMzNm,relativeStepVariation,valid,status
B15_V020,15,20,PHYSICAL_CONTROL,collective,1,0.001,rad,CX_collective,68086.8529810759,N/(rad),15.4391956873188,1/rad,10201.359697451,-6.82121026329696e-13,-58255.9404147699,2.8421709430404e-11,1.70835798280869,-6.93489710101858e-12,10065.1859914889,1.13686837721616e-12,-57665.1999543828,-6.82121026329696e-13,-1.80612607344951,-3.46744855050929e-12,1.94419774947195e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,1,0.001,rad,CY_collective,-9.09494701772928e-10,N/(rad),-2.06234626252365e-13,1/rad,10201.359697451,-6.82121026329696e-13,-58255.9404147699,2.8421709430404e-11,1.70835798280869,-6.93489710101858e-12,10065.1859914889,1.13686837721616e-12,-57665.1999543828,-6.82121026329696e-13,-1.80612607344951,-3.46744855050929e-12,0.11858491009511,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,1,0.001,rad,CZ_collective,-295370.230193577,N/(rad),-66.9773764611286,1/rad,10201.359697451,-6.82121026329696e-13,-58255.9404147699,2.8421709430404e-11,1.70835798280869,-6.93489710101858e-12,10065.1859914889,1.13686837721616e-12,-57665.1999543828,-6.82121026329696e-13,-1.80612607344951,-3.46744855050929e-12,3.86297426618359e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,1,0.001,rad,Cl_collective,1.45519152283669e-08,N*m/(rad),3.29975402003783e-13,1/rad,10201.359697451,-6.82121026329696e-13,-58255.9404147699,2.8421709430404e-11,1.70835798280869,-6.93489710101858e-12,10065.1859914889,1.13686837721616e-12,-57665.1999543828,-6.82121026329696e-13,-1.80612607344951,-3.46744855050929e-12,0.270940740239044,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,1,0.001,rad,Cm_collective,1757.2420281291,N*m/(rad),0.265645053383084,1/rad,10201.359697451,-6.82121026329696e-13,-58255.9404147699,2.8421709430404e-11,1.70835798280869,-6.93489710101858e-12,10065.1859914889,1.13686837721616e-12,-57665.1999543828,-6.82121026329696e-13,-1.80612607344951,-3.46744855050929e-12,5.72711710601377e-05,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,1,0.001,rad,Cn_collective,-1.73372427525464e-09,N*m/(rad),-3.9313475629357e-14,1/rad,10201.359697451,-6.82121026329696e-13,-58255.9404147699,2.8421709430404e-11,1.70835798280869,-6.93489710101858e-12,10065.1859914889,1.13686837721616e-12,-57665.1999543828,-6.82121026329696e-13,-1.80612607344951,-3.46744855050929e-12,0.0696686346808769,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,2,0.0001,rad,CX_collective,68086.9853556396,N/(rad),15.4392257042267,1/rad,10140.0645385852,-6.82121026329696e-13,-57990.3060125231,-2.91038304567337e-11,0.17524830222724,-5.6843418860808e-14,10126.4471415141,2.27373675443232e-13,-57931.2317382819,2.97859514830634e-11,-0.176220232413149,1.06865627458319e-11,1.94419774947195e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,2,0.0001,rad,CY_collective,-4.54747350886464e-09,N/(rad),-1.03117313126182e-12,1/rad,10140.0645385852,-6.82121026329696e-13,-57990.3060125231,-2.91038304567337e-11,0.17524830222724,-5.6843418860808e-14,10126.4471415141,2.27373675443232e-13,-57931.2317382819,2.97859514830634e-11,-0.176220232413149,1.06865627458319e-11,0.11858491009511,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,2,0.0001,rad,CZ_collective,-295371.371205583,N/(rad),-66.9776351940098,1/rad,10140.0645385852,-6.82121026329696e-13,-57990.3060125231,-2.91038304567337e-11,0.17524830222724,-5.6843418860808e-14,10126.4471415141,2.27373675443232e-13,-57931.2317382819,2.97859514830634e-11,-0.176220232413149,1.06865627458319e-11,3.86297426618359e-06,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,2,0.0001,rad,Cl_collective,-2.94448909698986e-07,N*m/(rad),-6.67684602492031e-12,1/rad,10140.0645385852,-6.82121026329696e-13,-57990.3060125231,-2.91038304567337e-11,0.17524830222724,-5.6843418860808e-14,10126.4471415141,2.27373675443232e-13,-57931.2317382819,2.97859514830634e-11,-0.176220232413149,1.06865627458319e-11,0.270940740239044,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,2,0.0001,rad,Cm_collective,1757.34267320195,N*m/(rad),0.265660268057739,1/rad,10140.0645385852,-6.82121026329696e-13,-57990.3060125231,-2.91038304567337e-11,0.17524830222724,-5.6843418860808e-14,10126.4471415141,2.27373675443232e-13,-57931.2317382819,2.97859514830634e-11,-0.176220232413149,1.06865627458319e-11,5.72711710601377e-05,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,collective,2,0.0001,rad,Cn_collective,-5.37170308234636e-08,N*m/(rad),-1.21807326130303e-12,1/rad,10140.0645385852,-6.82121026329696e-13,-57990.3060125231,-2.91038304567337e-11,0.17524830222724,-5.6843418860808e-14,10126.4471415141,2.27373675443232e-13,-57931.2317382819,2.97859514830634e-11,-0.176220232413149,1.06865627458319e-11,0.0696686346808769,1,VALID_CENTRAL_DIFFERENCE
