pointId,modelKind,modeIndex,realPartPerSecond,imagPartRadPerSecond,naturalFrequencyRadPerSecond,dampingRatio,oscillationPeriodSeconds,halfAmplitudeTimeSeconds,doublingTimeSeconds,realRootTimeConstantSeconds,stability,finiteRealMatrix
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,-2.02379041437368,0,2.02379041437368,1,NaN,0.342499487909898,NaN,0.49412231271462,STABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,-0.084826644419235,0.771899848751982,0.776546802264203,0.109235714025096,8.13989705703185,8.17133797176078,NaN,NaN,STABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,-0.084826644419235,-0.771899848751982,0.776546802264203,0.109235714025096,8.13989705703185,8.17133797176078,NaN,NaN,STABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,-0.466884312172196,1.09948933963846,1.19451151896125,0.390857940472771,5.71463958827074,1.48462298365746,NaN,NaN,STABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,-0.466884312172196,-1.09948933963846,1.19451151896125,0.390857940472771,5.71463958827074,1.48462298365746,NaN,NaN,STABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,7,-0.0719542230297081,0,0.0719542230297081,1,NaN,9.63316885895303,NaN,13.8977249408575,STABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,8,0.0399324342595329,0,0.0399324342595329,-1,NaN,NaN,17.357999666511,NaN,UNSTABLE,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,9,-0.0736063817633557,0,0.0736063817633557,1,NaN,9.41694407406699,NaN,13.5857785159852,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,1,0,0,0,NaN,NaN,NaN,NaN,NaN,CRITICAL_OR_KINEMATIC,1
B45_V035,THIRTEEN_STATE_TORQUE,2,-2.02076256047343,0,2.02076256047343,1,NaN,0.343012679529035,NaN,0.494862691718573,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,3,-0.0835719264873785,0.771942446478787,0.776453094251331,0.107632936369402,8.13944787702803,8.29401941170553,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,4,-0.0835719264873785,-0.771942446478787,0.776453094251331,0.107632936369402,8.13944787702803,8.29401941170553,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,5,-0.466884312172122,1.09948933963842,1.19451151896119,0.390857940472729,5.71463958827094,1.48462298365769,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,6,-0.466884312172122,-1.09948933963842,1.19451151896119,0.390857940472729,5.71463958827094,1.48462298365769,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,7,-0.0727992230424362,0,0.0727992230424362,1,NaN,9.52135409681358,NaN,13.7364103380208,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,8,0.0399324342593311,0,0.0399324342593311,-1,NaN,NaN,17.3579996665988,NaN,UNSTABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,9,-0.073606381763301,0,0.073606381763301,1,NaN,9.416944074074,NaN,13.5857785159953,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,10,0,0,0,NaN,NaN,NaN,NaN,NaN,CRITICAL_OR_KINEMATIC,1
B45_V035,THIRTEEN_STATE_TORQUE,11,0,0,0,NaN,NaN,NaN,NaN,NaN,CRITICAL_OR_KINEMATIC,1
B45_V035,THIRTEEN_STATE_TORQUE,12,-3.6,0,3.6,1,NaN,0.192540883488874,NaN,0.277777777777778,STABLE,1
B45_V035,THIRTEEN_STATE_TORQUE,13,-3.6,0,3.6,1,NaN,0.192540883488874,NaN,0.277777777777778,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,1,0,0,0,NaN,NaN,NaN,NaN,NaN,CRITICAL_OR_KINEMATIC,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,2,-2.02076256047343,0,2.02076256047343,1,NaN,0.343012679529034,NaN,0.494862691718573,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,3,-0.0835719264873784,0.771942446478788,0.776453094251332,0.107632936369401,8.13944787702802,8.29401941170554,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,4,-0.0835719264873784,-0.771942446478788,0.776453094251332,0.107632936369401,8.13944787702802,8.29401941170554,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,5,-0.466884312172122,1.09948933963842,1.19451151896119,0.39085794047273,5.71463958827094,1.48462298365769,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,6,-0.466884312172122,-1.09948933963842,1.19451151896119,0.39085794047273,5.71463958827094,1.48462298365769,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,7,-0.072799223042436,0,0.072799223042436,1,NaN,9.5213540968136,NaN,13.7364103380208,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,8,0.039932434259331,0,0.039932434259331,-1,NaN,NaN,17.3579996665988,NaN,UNSTABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,9,-0.073606381763301,0,0.073606381763301,1,NaN,9.416944074074,NaN,13.5857785159953,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,10,-3.2,2.39999999999963,3.99999999999978,0.800000000000044,2.61799387799189,0.216608493924983,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,11,-3.2,-2.39999999999963,3.99999999999978,0.800000000000044,2.61799387799189,0.216608493924983,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,12,-3.2,2.39999999999963,3.99999999999978,0.800000000000044,2.61799387799189,0.216608493924983,NaN,NaN,STABLE,1
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,13,-3.2,-2.39999999999963,3.99999999999978,0.800000000000044,2.61799387799189,0.216608493924983,NaN,NaN,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,1,0,0,0,NaN,NaN,NaN,NaN,NaN,CRITICAL_OR_KINEMATIC,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,2,-0.559487505539383,1.61901017558244,1.71295657198137,0.326620951570434,3.88088067755301,1.23889662181411,NaN,NaN,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,3,-0.559487505539383,-1.61901017558244,1.71295657198137,0.326620951570434,3.88088067755301,1.23889662181411,NaN,NaN,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,4,-1.85826921904874,0,1.85826921904874,1,NaN,0.373006867602732,NaN,0.538135158107988,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,5,-1.00563442109615,3.05576637333408,3.21698752209155,0.312601281226706,2.05617332594839,0.689263579307888,NaN,NaN,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,6,-1.00563442109615,-3.05576637333408,3.21698752209155,0.312601281226706,2.05617332594839,0.689263579307888,NaN,NaN,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,7,-0.0679341936349126,0,0.0679341936349126,1,NaN,10.2032149565948,NaN,14.7201276190034,STABLE,1
B75_V080,NINE_STATE_PHYSICAL_CONTROL,8,-0.272694649421002,0,0.272694649421002,1,NaN,2.54184371432174,NaN,3.66710532136676,STABLE,1
