pointId,modelKind,modeIndex,classification,classificationConfidence,dominantGroup,dominantGroupScore,secondGroupScore,longitudinalRigidBodyScore,lateralDirectionalRigidBodyScore,symmetricNacelleScore,differentialNacelleScore,actuatorRateScore,pathologicalEigenvectors,modeTrackingStatus
B15_V020,THIRTEEN_STATE_TORQUE,9,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,1.81204607112534e-21,1,1.81204607112534e-21,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_TORQUE,10,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,5.09835790837691e-288,5.09835790837691e-288,1,2.59212612308605e-293,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_TORQUE,11,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,2.59214707498728e-293,5.36945241872054e-308,1,0,2.59214707498728e-293,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_TORQUE,12,MIXED_OR_UNCERTAIN_MODE,LOW,SYMMETRIC_NACELLE,0.999999999999999,1.01916067086384e-15,1.01916067086384e-15,2.39507715846577e-27,0.999999999999999,0,0.928366762177649,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_TORQUE,13,MIXED_OR_UNCERTAIN_MODE,LOW,DIFFERENTIAL_NACELLE,0.999999999999999,1.56268963998593e-15,1.61079908324786e-29,1.56268963998593e-15,0,0.999999999999999,0.928366762177649,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,1,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,2,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.10145702435094e-25,1.10145702435094e-25,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,3,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,4.67449204116134e-25,4.67449204116134e-25,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,4,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,4.67449204116133e-25,4.67449204116133e-25,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,5,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,1.1686598363669e-24,1,1.1686598363669e-24,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
