pointId,perturbationName,coefficientName,directCoefficientDerivative,ARecoveredCoefficientDerivative,absoluteDifference,relativeDifference,status
B45_V035,p,CX_p,-1.88557372573591e-12,-1.88557372612005e-12,-3.84141787896702e-22,3.84141787896702e-12,FULL_CROSSCHECK
B45_V035,p,CY_p,-0.147028164956053,-0.147028164956055,-1.22124532708767e-15,8.30619988661834e-15,FULL_CROSSCHECK
B45_V035,p,CZ_p,0,0,0,0,FULL_CROSSCHECK
B45_V035,p,Cl_p,-1.54478054901222,-1.54478054901222,-2.22044604925031e-16,1.43738607446225e-16,FULL_CROSSCHECK
B45_V035,p,Cm_p,0,0,0,0,FULL_CROSSCHECK
B45_V035,p,Cn_p,-0.96119092009255,-0.96119092009255,-1.11022302462516e-16,1.15504943026122e-16,FULL_CROSSCHECK
B45_V035,q,CX_q,3.36280497450428,3.36280497450424,-3.68594044175552e-14,1.09609105187519e-14,FULL_CROSSCHECK
B45_V035,q,CY_q,-3.92827859528314e-13,-3.92827859528314e-13,0,0,FULL_CROSSCHECK
B45_V035,q,CZ_q,-6.5926187793529,-6.5926187793529,0,0,FULL_CROSSCHECK
B45_V035,q,Cl_q,2.43553272907554e-12,2.43553272907554e-12,4.03896783473158e-28,4.03896783473158e-18,FULL_CROSSCHECK
B45_V035,q,Cm_q,-34.633548589148,-34.633548589148,0,0,FULL_CROSSCHECK
B45_V035,q,Cn_q,-1.47310447323118e-14,-1.47310447323118e-14,0,0,FULL_CROSSCHECK
B45_V035,r,CX_r,0,0,0,0,FULL_CROSSCHECK
B45_V035,r,CY_r,0.140675363207116,0.140675363207131,1.45161660469739e-14,1.03189113687247e-13,FULL_CROSSCHECK
B45_V035,r,CZ_r,0,0,0,0,FULL_CROSSCHECK
B45_V035,r,Cl_r,-1.02340630291916,-1.02340630291916,-4.44089209850063e-16,4.339324553536e-16,FULL_CROSSCHECK
B45_V035,r,Cm_r,1.57131143811325e-13,1.57131146841831e-13,3.03050521911034e-21,3.03050521911034e-11,FULL_CROSSCHECK
B45_V035,r,Cn_r,-1.02592856293159,-1.02592856293159,0,0,FULL_CROSSCHECK
B75_V080,alpha,CX_alpha,1.84891792296718,1.84891639477306,-1.52819412480021e-06,8.26534323572206e-07,FULL_CROSSCHECK
B75_V080,alpha,CY_alpha,-1.00700501099787e-14,2.01205456483422e-14,3.01905957583209e-14,0.000301905957583209,FULL_CROSSCHECK
B75_V080,alpha,CZ_alpha,-4.67640304093869,-4.67640262428156,4.16657129242992e-07,8.9097779980777e-08,FULL_CROSSCHECK
B75_V080,alpha,Cl_alpha,-9.02276489854095e-14,-2.04279888443666e-14,6.9799660141043e-14,0.000697996601410429,FULL_CROSSCHECK
B75_V080,alpha,Cm_alpha,-2.6402640942801,-2.64026304381468,1.05046541376552e-06,3.97863765235177e-07,FULL_CROSSCHECK
B75_V080,alpha,Cn_alpha,-1.06339729161376e-13,-1.05067364795084e-14,9.58329926818672e-14,0.000958329926818672,FULL_CROSSCHECK
B75_V080,betaSlip,CX_betaSlip,-2.57793282815456e-13,2.06234660056854e-14,2.78416748821141e-13,0.00278416748821141,FULL_CROSSCHECK
B75_V080,betaSlip,CY_betaSlip,-1.10560894215907,-1.10560912769842,-1.85539353436681e-07,1.67816437043603e-07,FULL_CROSSCHECK
B75_V080,betaSlip,CZ_betaSlip,0,-8.24938640227417e-14,-8.24938640227417e-14,0.000824938640227417,FULL_CROSSCHECK
B75_V080,betaSlip,Cl_betaSlip,-0.0228803471295869,-0.0228803508912134,-3.76162649640133e-09,1.64404258165171e-07,FULL_CROSSCHECK
B75_V080,betaSlip,Cm_betaSlip,0,0,0,0,FULL_CROSSCHECK
B75_V080,betaSlip,Cn_betaSlip,0.188081781151661,0.188081800146741,1.8995080924844e-08,1.00993731601932e-07,FULL_CROSSCHECK
B75_V080,p,CX_p,2.06234626252365e-13,2.0623462629438e-13,4.20155143620891e-23,4.20155143620891e-13,FULL_CROSSCHECK
B75_V080,p,CY_p,-0.02802119335341,-0.0280211933534121,-2.10595429983584e-15,7.51557677531804e-14,FULL_CROSSCHECK
B75_V080,p,CZ_p,0,0,0,0,FULL_CROSSCHECK
B75_V080,p,Cl_p,-0.627273072808438,-0.627273072808438,0,0,FULL_CROSSCHECK
B75_V080,p,Cm_p,0,0,0,0,FULL_CROSSCHECK
B75_V080,p,Cn_p,-0.343041518207668,-0.343041518207668,0,0,FULL_CROSSCHECK
B75_V080,q,CX_q,1.60437789885813,1.60437789885814,5.55111512312578e-15,3.4599798009413e-15,FULL_CROSSCHECK
B75_V080,q,CY_q,1.36952681495711e-13,1.36952681495711e-13,0,0,FULL_CROSSCHECK
B75_V080,q,CZ_q,-8.00950872657149,-8.00950872657154,-4.2632564145606e-14,5.32274395359265e-15,FULL_CROSSCHECK
B75_V080,q,Cl_q,0,1.7584621865498e-29,1.7584621865498e-29,1.7584621865498e-19,FULL_CROSSCHECK
B75_V080,q,Cm_q,-38.0352773714969,-38.0352773714969,0,0,FULL_CROSSCHECK
B75_V080,q,Cn_q,5.84331441048367e-13,5.84331441048366e-13,-2.01948391736579e-28,2.01948391736579e-18,FULL_CROSSCHECK
B75_V080,r,CX_r,-6.18703878757094e-13,-6.18703878320433e-13,4.36661294445284e-22,4.36661294445284e-12,FULL_CROSSCHECK
B75_V080,r,CY_r,0.337998599194273,0.337998599194268,-5.44009282066327e-15,1.60950158776736e-14,FULL_CROSSCHECK
B75_V080,r,CZ_r,0,0,0,0,FULL_CROSSCHECK
B75_V080,r,Cl_r,-0.352957442745454,-0.352957442745454,5.55111512312578e-17,1.5727434672993e-16,FULL_CROSSCHECK
B75_V080,r,Cm_r,1.3748975083491e-13,1.37489756827569e-13,5.99265943993739e-21,5.99265943993739e-11,FULL_CROSSCHECK
B75_V080,r,Cn_r,-1.28875409339136,-1.28875409339136,-4.44089209850063e-16,3.44588011108806e-16,FULL_CROSSCHECK
