alpha_deg,alpha_rad,Re,Mach,flap_deg,CL,CD,Cm,source,source_class,validity
-153.0,-2.670353755551324,600000.0,0.0,0.0,0.042652541952,0.44955918628352,0.13799351808000002,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-152.0,-2.652900463031381,600000.0,0.0,0.0,0.04631919264553087,0.48132855768961574,0.14985621150024692,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-151.0,-2.6354471705114375,600000.0,0.0,0.0,0.05009327648869135,0.5140287741412818,0.16206648275753086,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-150.0,-2.6179938779914944,600000.0,0.0,0.0,0.053964800000000014,0.5475732480000001,0.17459200000000005,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-149.0,-2.600540585471551,600000.0,0.0,0.0,0.05792333127427159,0.5818715929437549,0.1873990129461728,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-148.0,-2.5830872929516078,600000.0,0.0,0.0,0.06195805156187657,0.6168300708709769,0.20045251975901243,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-147.0,-2.5656340004316642,600000.0,0.0,0.0,0.06605780684800001,0.6523520388044799,0.21371643392000003,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-146.0,-2.548180707911721,600000.0,0.0,0.0,0.07021115943190123,0.6883383957954052,0.22715375110320987,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-145.0,-2.530727415391778,600000.0,0.0,0.0,0.07440643950617286,0.7246880298271605,0.24072671604938276,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-144.0,-2.5132741228718345,600000.0,0.0,0.0,0.07863179673600001,0.76129826471936,0.25439698944000005,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
