Re,Mach,flap_deg,alpha_deg,CL,CD,Cm,source
1400000.0,0.0,0,11.0,1.2597,0.01629,-0.0135,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,12.0,1.32,0.01902,-0.0085,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,13.0,1.3779,0.0223,-0.0043,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,14.0,1.4236,0.02682,-0.0002,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,15.0,1.4643,0.03221,0.0029,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,16.0,1.493,0.03908,0.0055,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,17.0,1.5101,0.04747,0.0072,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,18.0,1.5142,0.05765,0.0079,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,19.0,1.5104,0.06911,0.0076,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,20.0,1.4952,0.0823,0.006,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,21.0,1.4753,0.09644,0.0033,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,22.0,1.4517,0.11144,-0.0009,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,23.0,1.4264,0.12707,-0.0067,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,24.0,1.4098,0.1419,-0.0137,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,25.0,1.3987,0.15611,-0.0217,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-25.0,-1.0854,0.15603,-0.0315,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-24.0,-1.0915,0.14142,-0.0412,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-23.0,-1.1177,0.12424,-0.0511,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-22.0,-1.1574,0.10575,-0.0604,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-21.0,-1.2052,0.08693,-0.0686,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-20.0,-1.257,0.06845,-0.0755,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-19.0,-1.2884,0.05326,-0.0802,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-18.0,-1.2996,0.04128,-0.0824,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-17.0,-1.2859,0.03317,-0.0817,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-16.0,-1.3017,0.02687,-0.0727,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-15.0,-1.2167,0.02203,-0.0772,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-14.0,-1.1183,0.01853,-0.0812,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-13.0,-1.0365,0.01602,-0.0796,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-11.0,-0.8889,0.01277,-0.0687,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-10.0,-0.8047,0.0117,-0.0639,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-9.0,-0.714,0.01091,-0.0598,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-8.0,-0.6154,0.01019,-0.0572,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-7.0,-0.5135,0.00963,-0.055,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-5.0,-0.3039,0.00884,-0.0514,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-4.0,-0.197,0.00858,-0.0499,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-3.0,-0.0889,0.0084,-0.0487,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-2.0,0.0192,0.00828,-0.0474,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-1.0,0.1262,0.00822,-0.046,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,-0.0,0.2347,0.00814,-0.0449,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,1.0,0.3411,0.00812,-0.0434,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,2.0,0.4459,0.0082,-0.0416,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,3.0,0.5517,0.00833,-0.0401,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,4.0,0.6507,0.00858,-0.0372,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,5.0,0.7442,0.00894,-0.0334,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,7.0,0.9295,0.01028,-0.0262,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,8.0,1.0092,0.01134,-0.0204,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,9.0,1.1143,0.0129,-0.0208,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,10.0,1.199,0.01463,-0.0183,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,11.0,1.2609,0.01669,-0.012,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,12.0,1.3205,0.01959,-0.0069,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,13.0,1.3763,0.02315,-0.0026,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,14.0,1.4216,0.0279,0.0014,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,15.0,1.4605,0.03363,0.0045,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,16.0,1.4849,0.04107,0.007,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,17.0,1.4979,0.05008,0.0086,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,18.0,1.4979,0.06089,0.0091,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,19.0,1.4908,0.07291,0.0085,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,20.0,1.4756,0.08629,0.0066,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,21.0,1.4545,0.10082,0.0035,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,22.0,1.4316,0.11595,-0.0011,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,23.0,1.409,0.13141,-0.0073,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,24.0,1.3878,0.14711,-0.0151,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.1,0,25.0,1.383,0.16064,-0.0232,XFOIL_CLEAN_SURROGATE_GEOMETRY
