pointId,inputIndex,inputState,component,forceDerivativeDifferenceNorm,momentDerivativeDifferenceNorm,rollAccelerationDerivativeDifference,pitchAccelerationDerivativeDifference,yawAccelerationDerivativeDifference,angularAccelerationDerivativeDifferenceNorm,differenceStep,stencil
B15_V020,9,psi,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,9,psi,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,9,psi,wing,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,9,psi,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,9,psi,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B15_V020,9,psi,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,1,u,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,1,u,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,1,u,wing,0,9.18333536299287e-12,-5.11243048262318e-16,-1.91991222089654e-17,1.6288692942551e-17,5.118626595171e-16,0.05,CENTRAL_DIFFERENCE
B45_V035,1,u,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,1,u,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,1,u,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,2,v,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,2,v,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,2,v,wing,9.09499142654185e-12,9.25343817704044e-12,-5.14109670489456e-16,0,-4.73660172309346e-17,5.162870256738e-16,0.05,CENTRAL_DIFFERENCE
B45_V035,2,v,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,2,v,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,2,v,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,3,w,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,3,w,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,3,w,wing,4.06738395668033e-11,3.51557130126508e-12,-3.43994667256621e-18,2.87986833134481e-17,-7.63856522081827e-17,8.17065802550066e-17,0.05,CENTRAL_DIFFERENCE
