collective75_deg,Vtip_fps,CT_exp,CT_model,CT_relativeError_pct,CP_exp,CP_model,CP_relativeError_pct,FM_exp,FM_model,FM_relativeError_pct,physicalConverged,maxAbsRootResidual,F_min,F_max,phiMin_deg,phiMax_deg
6,768.4,0.009208,0.00535384439916209,-41.8565986190042,0.000796,0.000410262070657065,-48.4595388621777,0.7849,0.675184170723765,-13.9783194389393,1,8.59016391352441e-09,0.968492534715921,0.999999999999699,1.12994564576075,21.605997528173
7,768.4,0.010104,0.00626453484646229,-37.9994571806979,0.000913,0.000483571971633796,-47.0348333369337,0.7866,0.725031917268338,-7.82711450949177,1,7.43007752546099e-09,0.902972027410761,0.999999999999715,1.80226692311466,21.5633335155249
8,768.4,0.011063,0.00722949293057688,-34.6516050747819,0.001044,0.000570202599525566,-45.3828927657504,0.7881,0.762285335929101,-3.27555691801787,1,5.60083179834692e-09,0.838118350600808,0.999999999999729,2.46201528128237,21.5228244724125
9,768,0.012035,0.00819136639556107,-31.9371300742744,0.001188,0.000666259414477981,-43.9175577038737,0.7858,0.78682141483997,0.129984072279189,1,9.40556899031719e-09,0.785016502769478,0.999999999999731,3.07636566221714,21.5152931585722
10,768,0.013089,0.00916942907868765,-29.9455338170399,0.001358,0.000775390099700581,-42.9020545139484,0.7797,0.800715423966104,2.69532178608492,1,8.66462857018746e-09,0.741225355750666,0.999999999999714,3.6632088342309,21.5646359863319
11,767.7,0.013929,0.0101601564255868,-27.057531584559,0.001523,0.000896598478444819,-41.1294498723034,0.7632,0.807676777690287,5.82767003279436,1,9.33546884240855e-09,0.704700131888316,0.999999999999696,4.22711976661347,21.6136185802892
