mode,role,supportedPointCount,CT_MAPE_pct,CP_MAPE_pct,FM_MAPE_pct,CT_meanSigned_pct,CP_meanSigned_pct,FM_meanSigned_pct,CT_deltaFromFrozenM1E_pp,CP_deltaFromFrozenM1E_pp,FM_deltaFromFrozenM1E_pp
M1_E_FROZEN_CORRIGAN_N1,FROZEN_COMPONENT_LEVEL_CONTROL,6,32.7268553359483,45.8942995542551,7.59181278625442,-32.7268553359483,-45.8942995542551,1.72990102429344,0,0,0
M1_G_LARGE_ANGLE_LOCAL_CLOSURE,ANALYSIS_ONLY_MODEL_FORM_TEST,6,33.9079760583929,44.8043878424979,5.62232779293457,-33.9079760583929,-44.8043878424979,-2.73800249588175,1.18112072244461,-1.08991171175722,-1.96948499331984
