localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,headingIntegrator,stable,analysisStatus,analysisMessage,variant,pointId
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.073606381763301,0,1,0.073606381763301,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B45_V035
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.545327250073881,1.60140329689518,0.322353151494113,1.69170751874545,0.254871250584526,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.545327250073881,-1.60140329689518,0.322353151494113,1.69170751874545,0.254871250584526,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.67586321484035,0,1,1.67586321484035,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0833895826988077,0,1,0.0833895826988077,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.00563442109611,3.05576637333406,0.312601281226699,3.21698752209151,0.48634032325011,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
7,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.00563442109611,-3.05576637333406,0.312601281226699,3.21698752209151,0.48634032325011,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
8,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.272694649420986,0,1,0.272694649420986,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0779334442458727,0,1,0.0779334442458727,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_A,B75_V080
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-2.34427380615328,0,1,2.34427380615328,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0752009859200209,0.506714377568271,0.146801163263986,0.512264237203558,0.0806460979257233,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0752009859200209,-0.506714377568271,0.146801163263986,0.512264237203558,0.0806460979257233,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.105183305438602,0,-1,0.105183305438602,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.392938215301186,0.663824165189906,0.509381077742647,0.771403243015063,0.105650897233824,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
7,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.392938215301186,-0.663824165189906,0.509381077742647,0.771403243015063,0.105650897233824,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
8,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.0481700957429795,0.161379786151151,-0.286019308326055,0.168415538184809,0.0256843906810686,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.0481700957429795,-0.161379786151151,-0.286019308326055,0.168415538184809,0.0256843906810686,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
