boundaryDeg,hDeg,lowMode,highMode,evaluationCompleted,lowStatus,highStatus,thetaJumpDeg,collectiveJumpDeg,cyclicLongJumpDeg,elevatorJumpDeg,maxDirectAngleJumpDeg,pitchCommandJump,normalizedVirtualCommandJump,rawResidualNormLow,rawResidualNormHigh,scaledResidualNormLow,scaledResidualNormHigh,controlMarginJump,lowPhysicalConverged,highPhysicalConverged,classification
30,0.01,helicopter_longitudinal,conversion_longitudinal,1,CREDIBLE,CREDIBLE,1.96620344729453,-0.637031445106919,3.60733684682059,-4.49968214653669,4.49968214653669,-0.137032227257228,0.103066767052017,2.43439785796189e-09,5.09824371626486e-10,2.49931864177533e-10,5.3029655676402e-11,0.0515333835260085,1,1,CONTINUITY_NOT_DEMONSTRATED
30,0.001,helicopter_longitudinal,conversion_longitudinal,1,CREDIBLE,CREDIBLE,1.96146706096739,-0.638060119955291,3.61827335027181,-4.49569435124503,4.49569435124503,-0.137799968585534,0.103379238579195,5.65998699495184e-10,1.28757152836612e-09,1.0418985230137e-10,1.86299186840246e-10,0.0516896192895974,1,1,CONTINUITY_NOT_DEMONSTRATED
60,0.01,conversion_longitudinal,airplane_longitudinal,1,FAILED,FAILED,-0.610620677305004,-0.087588832251118,11.676074395928,-6.22614315659575e-08,11.676074395928,-0.000537417916662397,3.11307135625327e-09,2.48613017057327,3.1861338573663,0.278837411230924,0.358933963977646,1.55653572197688e-09,1,1,CONTINUITY_NOT_DEMONSTRATED
60,0.001,conversion_longitudinal,airplane_longitudinal,1,FAILED,FAILED,-0.609354829878264,-0.0898457138653335,11.6676071836574,-5.90090820651312e-09,11.6676071836574,-5.37418100312603e-05,2.95045543552419e-10,2.48772267015957,3.18559499879996,0.278986861989921,0.358874557748519,1.47522713623918e-10,1,1,CONTINUITY_NOT_DEMONSTRATED
