boundaryDeg,hDeg,side,betaDeg,speedMps,mode,evaluationCompleted,status,solverConverged,physicalConverged,physicalStatus,thetaDeg,collectiveDeg,cyclicLongDeg,elevatorDeg,pitchCommand,normalizedPitchCommand,rawResidualNorm,scaledResidualNorm,minimumControlMargin,errorIdentifier,errorMessage
30,0.0100000000000016,LOW,29.99,45,helicopter_longitudinal,1,CREDIBLE,1,1,PHYSICAL_CONVERGED,7.59179157233687,15.5869058171186,-27.2116341585514,0,1.03642482920494,0.777475261672897,2.43439785796189e-09,2.49931864177533e-10,0.111262369163552,,
30,0.0100000000000016,HIGH,30.01,45,conversion_longitudinal,1,CREDIBLE,1,1,PHYSICAL_CONVERGED,9.5579950196314,14.9498743720117,-23.6042973117308,-4.49968214653669,0.899392601947714,0.67440849462088,5.09824371626486e-10,5.3029655676402e-11,0.16279575268956,,
30,0.00100000000000122,LOW,29.999,45,helicopter_longitudinal,1,CREDIBLE,1,1,PHYSICAL_CONVERGED,7.59327784668784,15.5875659908149,-27.2187661230702,0,1.03688447965631,0.777679032087721,5.65998699495184e-10,1.0418985230137e-10,0.111160483956139,,
30,0.00100000000000122,HIGH,30.001,45,conversion_longitudinal,1,CREDIBLE,1,1,PHYSICAL_CONVERGED,9.55474490765524,14.9495058708596,-23.6004927727984,-4.49569435124503,0.899084511070778,0.674299793508527,1.28757152836612e-09,1.86299186840246e-10,0.162850103245737,,
60,0.00999999999999801,LOW,59.99,45,conversion_longitudinal,1,FAILED,1,1,PHYSICAL_CONVERGED,17.643374315984,18.2967365577926,-11.676074395928,-20,1.33360212559794,1,2.48613017057327,0.278837411230924,2.49749832423378e-16,,
60,0.00999999999999801,HIGH,60.01,45,airplane_longitudinal,1,FAILED,1,1,PHYSICAL_CONVERGED,17.032753638679,18.2091477255415,0,-20.0000000622614,1.33306470768128,1.00000000311307,3.1861338573663,0.358933963977646,-1.55653547222705e-09,,
60,0.000999999999997669,LOW,59.999,45,conversion_longitudinal,1,FAILED,1,1,PHYSICAL_CONVERGED,17.6416752408405,18.2979138839086,-11.6676071836574,-20,1.33336020524736,1,2.48772267015957,0.278986861989921,0,,
60,0.000999999999997669,HIGH,60.001,45,airplane_longitudinal,1,FAILED,1,1,PHYSICAL_CONVERGED,17.0323204109622,18.2080681700432,0,-20.0000000059009,1.33330646343732,1.00000000029505,3.18559499879996,0.358874557748519,-1.47522713623918e-10,,
