betaM_deg,success,errorIdentifier,deltaFx_N,deltaFy_N,deltaFz_N,deltaMx_Nm,deltaMy_Nm,deltaMz_Nm,normDeltaF_N,normDeltaM_Nm
0,1,,-0.107068892884685,0.0240780784024537,0,0.018058558809571,0.0803016696635137,0.53534446442427,0.109742888986516,0.541634715732601
15,1,,-0.100045531831711,0.399854512570073,-0.026807119451405,0.15716953310698,0.077284029317525,0.566202510606558,0.413051281701706,0.592672225046685
45,1,,-0.0540332917371416,1.05766366917851,-0.0540332917298656,0.325594938942061,0.0547930617358361,0.746940693454349,1.06042049694037,0.816660727240593
75,1,,-0.00732788979075849,1.4524079696107,-0.0273480570122047,0.26629877443338,0.0188737925045643,0.930999908654485,1.45268390380696,0.968520566236404
90,1,,0,1.5126100526827,1.98951966012828e-12,0.17016863092249,-9.09494701772928e-13,0.964288908580784,1.5126100526827,0.979188675466559
