caseName,modelIdentity,stepScale,sourceArtifactId,sourceArtifactDigest,matrixName,rowIndex,rowName,columnIndex,columnName,value
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,3,wdot,8,theta,-1.2298047455357499
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,3,wdot,9,psi,0
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,1,u,8.5690239347372713e-15
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,2,v,-0.0120447900717322
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,3,w,-8.2017248006602902e-15
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,4,p,-2.0544959881092799
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,5,q,-2.0901831950556803e-12
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,6,r,-1.4242869436151
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,7,phi,0.00074005030928939999
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,8,theta,-1.4877939608181299e-14
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,4,pdot,9,psi,0
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,5,qdot,1,u,0.027093608975595301
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,5,qdot,2,v,6.1985288744918491e-16
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,5,qdot,3,w,-0.116049775176954
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,5,qdot,4,p,0
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,5,qdot,5,q,-1.2970433105049599
B75_V080,M1_EVIDENCE_V1_PROPAGATION,0.5,9781761914,sha256:33d7596ee0111e6dd0b3b4ec754ef3399395cdf8fa3ab801cef23376b98d765c,A,5,qdot,6,r,-1.23970579144198e-13
