node,x,y,category
候选公开资料,0.1,0.72,gray
原始来源与 / 构型核实,0.3,0.72,blue
变量/单位/ / 角度映射,0.5,0.72,green
是否参与调参,0.7,0.72,orange
验证/基准/ / 趋势分类,0.9,0.72,purple
无法追溯或 / 口径不一致,0.5,0.28,red
