pointId,layer,rootIndex,realPartPerSecond,imagPartRadPerSecond,naturalFrequencyRadPerSecond
B15_V020,9_STATE,1,0,0,0
B15_V020,9_STATE,2,-2.34185663830107,0,2.34185663830107
B15_V020,9_STATE,3,-0.0730990754092835,0.506221244861012,0.511471820899573
B15_V020,9_STATE,4,-0.0730990754092835,-0.506221244861012,0.511471820899573
B15_V020,9_STATE,5,0.103459963347053,0,0.103459963347053
B15_V020,9_STATE,6,-0.392938215301391,0.66382416518979,0.771403243015068
B15_V020,9_STATE,7,-0.392938215301391,-0.66382416518979,0.771403243015068
B15_V020,9_STATE,8,0.048170095743208,0.161379786151039,0.168415538184768
B15_V020,9_STATE,9,0.048170095743208,-0.161379786151039,0.168415538184768
B15_V020,13_STATE,1,0,0,0
B15_V020,13_STATE,2,-2.34427380613758,0,2.34427380613758
B15_V020,13_STATE,3,-0.0752009859232601,0.506714377567367,0.51226423720314
B15_V020,13_STATE,4,-0.0752009859232601,-0.506714377567367,0.51226423720314
B15_V020,13_STATE,5,0.105183305430921,0,0.105183305430921
B15_V020,13_STATE,6,-0.39293821530139,0.663824165189789,0.771403243015067
B15_V020,13_STATE,7,-0.39293821530139,-0.663824165189789,0.771403243015067
B15_V020,13_STATE,8,0.0481700957432081,0.161379786151039,0.168415538184768
B15_V020,13_STATE,9,0.0481700957432081,-0.161379786151039,0.168415538184768
B15_V020,13_STATE,10,-3.2,2.39999999999963,3.99999999999978
B15_V020,13_STATE,11,-3.2,-2.39999999999963,3.99999999999978
B15_V020,13_STATE,12,-3.2,2.39999999999963,3.99999999999978
B15_V020,13_STATE,13,-3.2,-2.39999999999963,3.99999999999978
B45_V035,9_STATE,1,0,0,0
B45_V035,9_STATE,2,-2.14992250997262,0,2.14992250997262
B45_V035,9_STATE,3,-0.0730678360301243,0.761967274413967,0.765462628702391
B45_V035,9_STATE,4,-0.0730678360301243,-0.761967274413967,0.765462628702391
B45_V035,9_STATE,5,-0.0483632926658202,0,0.0483632926658202
B45_V035,9_STATE,6,-0.457684035152771,1.02246029581166,1.12022307267124
B45_V035,9_STATE,7,-0.457684035152771,-1.02246029581166,1.12022307267124
B45_V035,9_STATE,8,0.0545373866981478,0,0.0545373866981478
B45_V035,9_STATE,9,-0.0713051041444266,0,0.0713051041444266
B45_V035,13_STATE,1,0,0,0
B45_V035,13_STATE,2,-2.14675320890521,0,2.14675320890521
B45_V035,13_STATE,3,-0.0716343221545988,0.762007615700097,0.765367286010772
B45_V035,13_STATE,4,-0.0716343221545988,-0.762007615700097,0.765367286010772
B45_V035,13_STATE,5,-0.0492949788921497,0,0.0492949788921497
B45_V035,13_STATE,6,-0.457684035152841,1.0224602958117,1.1202230726713
B45_V035,13_STATE,7,-0.457684035152841,-1.0224602958117,1.1202230726713
B45_V035,13_STATE,8,-0.0713051041444534,0,0.0713051041444534
B45_V035,13_STATE,9,0.0545373866983141,0,0.0545373866983141
B45_V035,13_STATE,10,-3.2,2.39999999999963,3.99999999999978
B45_V035,13_STATE,11,-3.2,-2.39999999999963,3.99999999999978
B45_V035,13_STATE,12,-3.2,2.39999999999963,3.99999999999978
B45_V035,13_STATE,13,-3.2,-2.39999999999963,3.99999999999978
B75_V080,9_STATE,1,0,0,0
B75_V080,9_STATE,2,-0.559213303683984,1.59947597169081,1.69441520975038
B75_V080,9_STATE,3,-0.559213303683984,-1.59947597169081,1.69441520975038
B75_V080,9_STATE,4,-1.88352696434267,0,1.88352696434267
B75_V080,9_STATE,5,-1.01171664566574,2.88589498316415,3.05809751724322
B75_V080,9_STATE,6,-1.01171664566574,-2.88589498316415,3.05809751724322
B75_V080,9_STATE,7,-0.068332010683844,0,0.068332010683844
B75_V080,9_STATE,8,-0.0544306630083047,0,0.0544306630083047
B75_V080,9_STATE,9,-0.300448078893673,0,0.300448078893673
B75_V080,13_STATE,1,0,0,0
B75_V080,13_STATE,2,-0.545007697620241,1.58241976255997,1.67364443517901
B75_V080,13_STATE,3,-0.545007697620241,-1.58241976255997,1.67364443517901
B75_V080,13_STATE,4,-1.70559858082551,0,1.70559858082551
B75_V080,13_STATE,5,-1.01171664566573,2.88589498316417,3.05809751724323
B75_V080,13_STATE,6,-1.01171664566573,-2.88589498316417,3.05809751724323
B75_V080,13_STATE,7,-0.0832084323009897,0,0.0832084323009897
B75_V080,13_STATE,8,-0.300448078893664,0,0.300448078893664
B75_V080,13_STATE,9,-0.0544306630083225,0,0.0544306630083225
B75_V080,13_STATE,10,-3.2,2.39999999999963,3.99999999999978
B75_V080,13_STATE,11,-3.2,-2.39999999999963,3.99999999999978
B75_V080,13_STATE,12,-3.2,2.39999999999963,3.99999999999978
B75_V080,13_STATE,13,-3.2,-2.39999999999963,3.99999999999978
