node,x,y,category
L0 / 理论推导,0.1,0.55,gray
L1 / 内部一致性,0.26,0.55,blue
L2 / 收敛/双重实现,0.42,0.55,green
L3 / 独立模型/文献基准,0.58,0.55,orange
L4 / 原始试验/飞行关联,0.74,0.55,purple
L5 / 多来源多工况验证,0.9,0.55,red
