pointId,betaMDeg,speedMps,inputType,amplitudeDeg,archiveDt,precedingDt,validDurationSeconds,maxBetaSymDeviationRad,maxBetaDiffRad,maxLongitudinalVelocityDeviationMps,maxLateralVelocityDeviationMps,maxPitchRateRadPerSecond,maxRollRateRadPerSecond,maxYawRateRadPerSecond,maxPitchAttitudeDeviationRad,maxRollAttitudeDeviationRad,maxAbsLateralForceN,maxAbsRollMomentNm,maxAbsPitchMomentNm,maxAbsYawMomentNm,maxRigidAccelerationNorm,maximumDynamicTrimDeparture,coarseFinePeakChange,quantitativeClaimAllowed,finiteReal
B15_V020,15,20,betaSym,2,0.0125,0.025,3,0.0354341021207239,0.0,0.630022963755771,2.8883652680148e-15,0.0060108337976174,2.22766137401177e-16,5.47739727570278e-17,0.005469485732504,2.42036493859828e-16,1.3691390657516e-11,8.77641765798681e-11,261.305779144248,2.14856539546879e-11,0.360242690900516,0.7405474274136,0.0152475219559386,1,1
B15_V020,15,20,betaDiff,1,0.0125,0.025,3,1.11022302462516e-16,0.0177170741812726,0.492343464615168,4.7933083452533,0.0040153946854308,0.0549003161291192,0.178849815777552,0.0035259855146142,0.0488946386770004,2005.97479846215,1268.08204234746,193.695954784679,4324.03316539989,3.96879629949221,3.96879630321526,0.0107279761057606,1,1
B45_V035,45,35,betaSym,2,0.0125,0.025,3,0.035434102120724,0.0,0.445510573633783,6.99225119291398e-16,0.0180888862036679,1.559064861594e-16,1.01362610060884e-16,0.022127975618905,2.3493579533223897e-16,1.3604933781135799e-11,7.2751299052546e-11,346.967685912836,3.0202625426692e-11,0.419511289689067,0.740549909256906,0.0132635919194202,1,1
B45_V035,45,35,betaDiff,1,0.0125,0.025,3,0.0,0.0177170741812728,0.324316874486435,7.46649990298001,0.0103386422077498,0.17773206619469,0.03587051757273,0.0097038632664278,0.267550394268165,9742.03602798841,2921.15622445471,898.723352355671,1592.6575545629,5.23076689523874,5.23076690984403,0.0151449226660896,1,1
B75_V080,75,80,betaSym,2,0.00625,0.0125,3,0.0354354914641488,0.0,0.383827217752966,1.31224667391935e-15,0.002342194401817,3.61629968078972e-17,2.1519756575643902e-17,0.0037048371343741,2.27056946820966e-17,4.45239618568818e-12,3.29322626277933e-11,260.741188969596,8.11508414906861e-11,0.221967282307488,0.740595374241072,0.004058417406743,1,1
B75_V080,75,80,betaDiff,1,0.025,0.05,3,0.0,0.017714393312863,0.0239702007836087,2.04517953054488,0.001011536020566,0.0488448475344932,0.0301665075606287,0.0017502017385668,0.0693472041843184,5904.56984292442,494.514733544216,55.1927205605183,1834.73009924756,1.77911653080326,1.77919713659105,0.0121114556236051,1,1
