pointId,layer,rootIndex,realPartPerSecond,imagPartRadPerSecond,naturalFrequencyRadPerSecond
B45_V035,9_STATE,1,0.0,0.0,0.0
B45_V035,9_STATE,2,-2.14992250997262,0.0,2.14992250997262
B45_V035,9_STATE,3,-0.0730678360301243,0.761967274413967,0.765462628702391
B45_V035,9_STATE,4,-0.0730678360301243,-0.761967274413967,0.765462628702391
B45_V035,9_STATE,5,-0.0483632926658202,0.0,0.0483632926658202
B45_V035,9_STATE,6,-0.457684035152771,1.02246029581166,1.12022307267124
B45_V035,9_STATE,7,-0.457684035152771,-1.02246029581166,1.12022307267124
B45_V035,9_STATE,8,0.0545373866981478,0.0,0.0545373866981478
B45_V035,9_STATE,9,-0.0713051041444266,0.0,0.0713051041444266
B45_V035,13_STATE,1,0.0,0.0,0.0
B45_V035,13_STATE,2,-2.14675320890521,0.0,2.14675320890521
B45_V035,13_STATE,3,-0.0716343221545988,0.762007615700097,0.765367286010772
B45_V035,13_STATE,4,-0.0716343221545988,-0.762007615700097,0.765367286010772
B45_V035,13_STATE,5,-0.0492949788921497,0.0,0.0492949788921497
B45_V035,13_STATE,6,-0.457684035152841,1.0224602958117,1.1202230726713
B45_V035,13_STATE,7,-0.457684035152841,-1.0224602958117,1.1202230726713
B45_V035,13_STATE,8,-0.0713051041444534,0.0,0.0713051041444534
B45_V035,13_STATE,9,0.0545373866983141,0.0,0.0545373866983141
B45_V035,13_STATE,10,-3.2,2.39999999999963,3.99999999999978
B45_V035,13_STATE,11,-3.2,-2.39999999999963,3.99999999999978
B45_V035,13_STATE,12,-3.2,2.39999999999963,3.99999999999978
B45_V035,13_STATE,13,-3.2,-2.39999999999963,3.99999999999978
