Re,Mach,flap_deg,sweep,alpha_deg,CL,CD,Cm,source,accepted
1000000.0,0.1,0.0,negative,-22.0,-0.9653,0.11354,-0.0623,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-23.0,-0.9487,0.12876,-0.0554,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-24.0,-0.9246,0.14564,-0.0466,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-25.0,-0.9084,0.16164,-0.0373,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,0.0,0.0674,0.00739,-0.014,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,1.0,0.1702,0.00743,-0.0129,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,2.0,0.2758,0.0076,-0.0124,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,3.0,0.3909,0.00769,-0.0142,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,4.0,0.5006,0.00785,-0.0148,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,5.0,0.604,0.00811,-0.0143,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,6.0,0.7038,0.00843,-0.0132,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,7.0,0.8023,0.00879,-0.0121,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,8.0,0.8952,0.00934,-0.0102,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,9.0,0.9338,0.01162,-0.0001,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,10.0,0.9638,0.01483,0.0094,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,11.0,0.9739,0.01979,0.0189,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,12.0,0.9986,0.02484,0.0247,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,13.0,1.0718,0.03192,0.0181,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,14.0,1.1039,0.03729,0.0218,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,15.0,1.1274,0.04375,0.0251,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,16.0,1.1554,0.0503,0.0271,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,17.0,1.1806,0.0574,0.0284,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,18.0,1.1958,0.0658,0.0291,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,19.0,1.2136,0.07437,0.0289,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,20.0,1.2145,0.08512,0.0279,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,21.0,1.2186,0.09606,0.0257,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,22.0,1.22,0.10775,0.0224,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,23.0,1.2071,0.12166,0.0175,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,24.0,1.1904,0.13658,0.011,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,positive,25.0,1.1727,0.15202,0.003,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,0.0,0.0674,0.00739,-0.014,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-1.0,-0.0279,0.00729,-0.0169,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-2.0,-0.1226,0.00728,-0.02,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-3.0,-0.2122,0.00732,-0.0242,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-4.0,-0.2939,0.00735,-0.0301,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-5.0,-0.3737,0.00743,-0.0364,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-6.0,-0.4625,0.00754,-0.0406,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-7.0,-0.5433,0.00797,-0.0461,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-8.0,-0.5764,0.00973,-0.0596,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-9.0,-0.61,0.01186,-0.0708,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-10.0,-0.6524,0.01447,-0.0779,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-11.0,-0.7,0.01757,-0.0825,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-12.0,-0.7468,0.02102,-0.0862,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-13.0,-0.7899,0.02479,-0.0896,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-14.0,-0.8604,0.02936,-0.0863,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-15.0,-0.9525,0.03526,-0.077,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-17.0,-1.0427,0.04956,-0.0713,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-18.0,-1.0616,0.05645,-0.073,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-19.0,-1.0668,0.0654,-0.0734,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-20.0,-1.0817,0.07398,-0.0725,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-21.0,-1.0753,0.08562,-0.07,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-22.0,-1.0458,0.10105,-0.0651,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-23.0,-1.0392,0.11416,-0.0597,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-24.0,-1.0017,0.13221,-0.0512,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.0,0.0,negative,-25.0,-0.9618,0.15143,-0.0409,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,0.0,0.0667,0.00741,-0.0139,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,1.0,0.1693,0.00747,-0.0125,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,2.0,0.276,0.00762,-0.0122,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,3.0,0.3911,0.00773,-0.0138,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,4.0,0.5015,0.00789,-0.0144,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,5.0,0.6055,0.00815,-0.0139,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,6.0,0.7056,0.00848,-0.0127,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,7.0,0.8037,0.00888,-0.0113,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,8.0,0.8975,0.00943,-0.0094,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,9.0,0.9336,0.01184,0.0012,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,11.0,0.9713,0.02034,0.0201,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,12.0,0.9945,0.02561,0.026,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,13.0,1.0682,0.03281,0.0193,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,14.0,1.1001,0.03832,0.023,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,15.0,1.1226,0.045,0.0262,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,16.0,1.1501,0.0517,0.0283,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,17.0,1.1735,0.0591,0.0295,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,18.0,1.1896,0.06755,0.0301,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,19.0,1.2056,0.07651,0.0298,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,20.0,1.2038,0.08776,0.0286,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,21.0,1.2063,0.09906,0.0262,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,22.0,1.2078,0.11096,0.0226,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,23.0,1.1903,0.12576,0.0172,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,24.0,1.1747,0.14074,0.0102,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,positive,25.0,1.1559,0.15661,0.0017,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,0.0,0.0667,0.00741,-0.0139,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-1.0,-0.029,0.00733,-0.0168,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-2.0,-0.1245,0.00731,-0.0198,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-4.0,-0.2946,0.00737,-0.0306,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-5.0,-0.3748,0.00745,-0.037,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-6.0,-0.4642,0.00757,-0.0412,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-7.0,-0.5439,0.00803,-0.0471,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-8.0,-0.5744,0.00987,-0.0611,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-9.0,-0.6079,0.01206,-0.0722,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-10.0,-0.6488,0.01484,-0.0794,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-11.0,-0.6969,0.01802,-0.0839,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-12.0,-0.7426,0.02162,-0.0876,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-13.0,-0.7858,0.02546,-0.0911,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-14.0,-0.8561,0.03022,-0.0877,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-15.0,-0.9463,0.03641,-0.0784,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-16.0,-1.0044,0.04384,-0.0735,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-17.0,-1.0359,0.05112,-0.0725,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-18.0,-1.0536,0.05826,-0.0742,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-19.0,-1.0588,0.06738,-0.0744,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-20.0,-1.0685,0.07677,-0.0732,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-21.0,-1.057,0.0893,-0.0703,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-22.0,-1.0273,0.10507,-0.0649,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-23.0,-1.0157,0.11912,-0.0589,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-24.0,-0.9764,0.13779,-0.0497,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1400000.0,0.1,0.0,negative,-25.0,-0.9393,0.15685,-0.0391,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
