Re,Mach,flap_deg,sweep,alpha_deg,CL,CD,Cm,source,accepted
600000.0,0.0,0.0,negative,-22.0,-0.9261,0.11702,-0.0616,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,negative,-23.0,-0.9199,0.13051,-0.0553,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,negative,-24.0,-0.9166,0.14408,-0.0481,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.0,0.0,negative,-25.0,-0.9083,0.15878,-0.0395,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,0.0,0.0698,0.00983,-0.0147,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,1.0,0.1606,0.00984,-0.0108,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,2.0,0.258,0.01006,-0.0085,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,3.0,0.3592,0.01023,-0.007,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,4.0,0.4648,0.01052,-0.0067,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,5.0,0.5734,0.01083,-0.0071,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,6.0,0.6619,0.01106,-0.0034,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,7.0,0.7645,0.01141,-0.0032,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,8.0,0.8585,0.0119,-0.0016,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,9.0,0.9368,0.01269,0.0024,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,10.0,0.9937,0.0143,0.0088,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,11.0,0.9816,0.01972,0.0212,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,12.0,1.0311,0.0288,0.0162,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
