caseName,matchedMode,modeType,M0_real,M0_imagPositive,M1_real,M1_imagPositive,MAC,normalizedEigenDistance,M0_wn,M1_wn,relativeWnChange,M0_zeta,M1_zeta,relativeZetaChange,relativeRealPartChange,relativeImagMagnitudeChange,M0_topStates,M1_topStates
B15_V020,1,INTEGRATOR,0,0,0,0,1,0,0,0,,,,,,,"psi:1.000;theta:0.000;phi:0.000","psi:1.000;theta:0.000;phi:0.000"
B15_V020,2,REAL,-1.93900873361102,0,-2.67951438677996,0,0.854528634296614,0.276358155351731,1.93900873361102,2.67951438677996,0.381899080872054,1,1,0,-0.381899080872054,,"v:0.873;p:0.429;phi:0.225","p:0.725;v:0.627;phi:0.275"
B15_V020,3,COMPLEX_PAIR,-0.0656120334120199,0.508759271397019,-0.0814985758290986,0.504031883041951,0.999997545905393,0.0165749941366287,0.512972645626339,0.510578257454218,-0.00466767222879392,0.127905520833197,0.159620145666713,0.247953525593903,-0.242128487579663,-0.00929199450672885,"v:0.999;psi:0.038;r:0.019","v:0.999;psi:0.038;r:0.019"
B15_V020,4,REAL,0.0824859889749813,0,0.0813051570491361,0,0.995180791528341,0.00118083192584519,0.0824859889749813,0.0813051570491361,-0.0143155454704355,-1,-1,0,-0.0143155454704355,,"psi:0.708;v:0.692;phi:0.126","v:0.741;psi:0.659;phi:0.117"
B15_V020,5,COMPLEX_PAIR,-0.380408693894518,0.703440779684144,-0.418811254722039,0.689208939823138,0.993391085139131,0.0409548769249863,0.799712263825665,0.806481140395721,0.00846414001165316,0.475681956000922,0.519306941903859,0.0917104072428857,-0.100950796981968,-0.0202317526535724,"w:0.935;u:0.352;theta:0.041","w:0.946;u:0.321;theta:0.040"
B15_V020,6,COMPLEX_PAIR,0.0494653932619021,0.0495486088579686,0.0428949245249031,0.0833029345215089,0.999620288536171,0.0343878693789572,0.0700134970581715,0.0936982040910707,0.338287730624575,-0.706512248928278,-0.457798790713332,0.352029930963298,-0.132829606796223,0.68123659657726,"u:0.993;w:0.119;theta:0.008","u:0.995;w:0.101;theta:0.010"
B75_V080,1,INTEGRATOR,0,0,0,0,1,0,0,0,,,,,,,"psi:1.000;theta:0.000;phi:0.000","psi:1.000;theta:0.000;phi:0.000"
B75_V080,2,REAL,-2.21134432357382,0,-2.54996978316235,0,0.999595125420857,0.132795871474437,2.21134432357382,2.54996978316235,0.153131041592501,1,1,0,-0.153131041592501,,"v:0.985;p:0.153;phi:0.071","v:0.988;p:0.140;phi:0.057"
B75_V080,3,COMPLEX_PAIR,-0.592782023558249,1.5860015329515,-0.619426373890449,1.53899608996583,0.999981288333852,0.0319117937374426,1.69316017847643,1.6589749840191,-0.020190171545428,0.350103924657416,0.373378971869606,0.0664803950283194,-0.0449479729028617,-0.0296377033748503,"v:1.000;r:0.020;p:0.012","v:1.000;r:0.019;p:0.016"
B75_V080,4,COMPLEX_PAIR,-1.04102087119705,3.05024271368181,-1.05016061196416,3.0523268088717,0.999842487643485,0.00290413407827761,3.22299628709634,3.22793064657186,0.00153098515665886,0.32299784997113,0.325335556102933,0.00723752846036853,-0.00877959416567105,0.000683255526040818,"w:0.992;u:0.120;q:0.039","w:0.991;u:0.126;q:0.039"
B75_V080,5,REAL,-0.0637513872555164,0,-0.0831844402571888,0,0.984923468604815,0.0194330530016724,0.0637513872555164,0.0831844402571888,0.304825570677929,1,1,0,-0.304825570677929,,"v:0.842;psi:0.465;phi:0.271","v:0.894;psi:0.354;phi:0.273"
B75_V080,6,REAL,-0.302539961454029,0,-0.399267206859699,0,0.999835091414643,0.0967272454056699,0.302539961454029,0.399267206859699,0.319717253022681,1,1,0,-0.319717253022681,,"u:0.979;w:0.205;theta:0.006","u:0.976;w:0.217;theta:0.003"
B75_V080,7,REAL,-0.0705166933261925,0,-0.0430798598990033,0,0.999795553694032,0.0274368334271892,0.0705166933261925,0.0430798598990033,-0.389082813345676,1,1,0,0.389082813345676,,"u:0.979;w:0.199;theta:0.030","u:0.977;w:0.210;theta:0.040"
