caseName,M0_theta_deg,M1_theta_deg,delta_theta_deg,M0_collective_deg,M1_collective_deg,delta_collective_deg,pct_collective_deg,M0_cyclicLong_deg,M1_cyclicLong_deg,delta_cyclicLong_deg,M0_elevator_deg,M1_elevator_deg,delta_elevator_deg,rotorThrustChange_pct,rotorTorqueChange_pct,inducedVelocityChange_pct,M0_Hlong_N,M1_Hlong_N,HlongAbsChange_pct,fullATwoScaleComparable,fullBTwoScaleComparable,commonTwoScaleBColumns,unresolvedEndpoints_scale1,unresolvedEndpoints_scale05,relativeA_M0M1,A_numericalFloor,A_signalToFloor,relativeB_M0M1,B_numericalFloor,B_signalToFloor,M0_spectralAbscissa,M1_spectralAbscissa,M0_unstableCount,M1_unstableCount,modalReproductionStatus,acceptedControlColumnChanges,blockedControlChannels,acceptedDynamicClaims,blockedClaims,claimBoundary
B15_V020,9.9139577400882,9.9131999160628,-0.0007578240254009,38.4119026082067,34.8239587814083,-3.58794382679842,-9.34070843455658,-10.6075040415717,-9.42068011354638,1.18682392802536,0,0,0,-0.160423257814615,-8.23848612613655,-0.130068637277787,1849.96867211049,1543.72754694175,-16.5538546563263,1,0,"cyclicLong;diffCyclicLong;aileron;elevator;rudder",3,3,0.0244559091153539,1.63140207495572e-06,14990.730667066,NaN,NaN,NaN,0.0824859889749813,0.0813051570491361,3,3,R2021A_REPRODUCED_PASS,"cyclicLong:+4.612522%;diffCyclicLong:+8.281563%;aileron:+0.056418%;elevator:+0.001445%;rudder:0%","collective;diffCollective","matched trim/load;full A;two-scale eigenstructure/modal analysis;partial supported B columns","full B;collective and differential-collective effectiveness",WHOLE_AIRCRAFT_PROPAGATION_SENSITIVITY_NOT_XV15_AIRCRAFT_VALIDATION
B45_V035,21.8798887442997,20.9914693455604,-0.888419398739313,37.5157521652591,34.8690725448046,-2.6466796204545,-7.05484887733483,-29.4620483293344,-25.7796428658668,3.68240546346761,-16.8354561881911,-14.731224494781,2.10423169341006,-2.84657917552044,-7.21818404024801,-2.83294953566817,3098.29038340384,1462.49062250972,-52.796851116873,0,1,"collective;diffCollective;cyclicLong;diffCyclicLong;aileron;elevator;rudder",1,1,NaN,NaN,NaN,0.360773912007979,3.08018667771648e-05,11712.7287971858,NaN,NaN,NaN,NaN,BLOCKED_FULL_A,"collective:+37.131096%;diffCollective:+35.527751%;cyclicLong:+35.958228%;diffCyclicLong:+45.487585%;aileron:+10.054271%;elevator:-0.829531%;rudder:0%",,"matched trim/load;full B;two-scale control-effectiveness analysis;8/9 supported state-derivative columns as partial evidence","full A;eigenstructure/modal-shift claims",WHOLE_AIRCRAFT_PROPAGATION_SENSITIVITY_NOT_XV15_AIRCRAFT_VALIDATION
B75_V080,7.06862335676116,7.20415695231504,0.13553359555388,51.9492572302137,50.101733300355,-1.84752392985872,-3.55640105049318,0,0,0,-7.20401497468808,-7.53253072304903,-0.328515748360949,-1.65577377273733,-7.03588752478551,-1.64130436587739,-2730.29171701907,-2399.37505050728,-12.1201944996956,1,0,"collective;diffCollective;aileron;elevator;rudder",3,0,0.00555075472870843,1.21672584104376e-06,4562.0422789301,NaN,NaN,NaN,0,0,0,0,R2021A_REPRODUCED_PASS,"collective:+26.810947%;diffCollective:+29.604383%;aileron:-0.945556%;elevator:-0.072564%;rudder:0%","cyclicLong;diffCyclicLong (two-scale blocked)","matched trim/load;full A;two-scale eigenstructure/modal analysis;partial two-scale B columns;scale-0.5 full-B diagnostic only","two-scale full B;coarse cyclicLong and differential-cyclicLong effectiveness",WHOLE_AIRCRAFT_PROPAGATION_SENSITIVITY_NOT_XV15_AIRCRAFT_VALIDATION
