caseName,modelIdentity,mode,sourceWorkflowRun,sourceArtifactId,sourceArtifactDigest,sourceHeadSha,selectedSeed,residualNorm,physicalConverged,physicalBranchSupported,atLimit,credible,x1_u_mps,x2_v_mps,x3_w_mps,x4_p_rps,x5_q_rps,x6_r_rps,x7_phi_rad,x8_theta_rad,x9_psi_rad,u1_collective_rad,u2_diffCollective_rad,u3_cyclicLong_rad,u4_diffCyclicLong_rad,u5_aileron_rad,u6_elevator_rad,u7_rudder_rad,leftBeta0_rad,leftBeta1c_rad,leftBeta1s_rad,rightBeta0_rad,rightBeta1c_rad,rightBeta1s_rad
B15_V020,M1_EVIDENCE_V1_PROPAGATION,helicopter_longitudinal,33391786175,9758365382,sha256:fc19a4d7f0ac1812651b75630f3cd17436c980a6e79a033ce0f80d94e6499e10,3255adcd3104203eaf9c8ca98d086bb97ceb3d72,CANONICAL_M0_MIDPOINT,1.1315388547324277e-09,1,1,0,1,19.70139381286037,0,3.44312094335751,0,0,0,0,0.17301797794372142,0,0.6077927393143667,0,-0.16442188575853764,0,0,0,0,0.02529458928157604,0.14142467658154204,-0.042815773054680546,0.025294589281576053,0.14142467658154204,0.04281577305468059
B45_V035,M1_EVIDENCE_V1_PROPAGATION,conversion_longitudinal,33374227398,9751369667,sha256:27b4c9840a916c167917888ecbc6ebb7da8e53d0594cbd8bad46963e3327bd93,d02b8028988d2b671269d75e4b11253f08df78ce,ADAPTIVE_PATH_EXTENSION_FINAL,6.85989567235717e-05,1,1,0,1,32.6771820547301,0,12.5380131312073,0,0,0,0,0.366370254911489,0,0.608580123023599,0,-0.449939648260604,0,0,-0.257108372810873,0,0.016234476055415573,0.44627009235570264,-0.018297422829983263,0.016234476055415573,0.44627009235570264,0.018297422829983163
B75_V080,M1_EVIDENCE_V1_PROPAGATION,airplane_longitudinal,33391786175,9759061066,sha256:e16d3e3bd56961bfe5c738ea12cc5ad014fc57f1392c90a92933ea1a60f3d2c0,3255adcd3104203eaf9c8ca98d086bb97ceb3d72,M0_TRIM,3.58674949331229e-09,1,1,0,1,79.36844843706267,0,10.032417091275828,0,0,0,0,0.12573625864833748,0,0.8744402070472799,0,0,0,0,-0.13146746212483468,0,0.005460037905005746,-0.07524011250524903,-0.0013732400897097335,0.005460037905005743,-0.07524011250524905,0.0013732400897097645
