caseName,trimLoadComparable,fullATwoScaleComparable,fullBTwoScaleComparable,commonTwoScaleBColumns,branchTrackedRecoveredFailedEndpoints,finalUnresolvedEndpointCountScale1,finalUnresolvedEndpointCountScale05,relativeA_M0M1,relativeA_NumericalFloor,A_SignalToFloor,relativeB_M0M1,relativeB_NumericalFloor,B_SignalToFloor,M0SpectralAbscissa,M1SpectralAbscissa,M0UnstableCount,M1UnstableCount,acceptedDynamicClaims,blockedClaims
B15_V020,1,1,0,"cyclicLong;diffCyclicLong;aileron;elevator;rudder",0,3,3,0.0244559091153539,1.63140207495572e-06,14990.730667066,NaN,NaN,NaN,0.0824859889749813,0.0813051570491361,3,3,"matched trim/load;full A;two-scale eigenstructure/modal analysis;partial supported B columns","full B;collective and differential-collective effectiveness"
B45_V035,1,0,1,"collective;diffCollective;cyclicLong;diffCyclicLong;aileron;elevator;rudder",0,1,1,NaN,NaN,NaN,0.360773912007979,3.08018667771648e-05,11712.7287971858,NaN,NaN,NaN,NaN,"matched trim/load;full B;two-scale control-effectiveness analysis;8/9 supported state-derivative columns as partial evidence","full A;eigenstructure/modal-shift claims"
B75_V080,1,1,0,"collective;diffCollective;aileron;elevator;rudder",0,3,0,0.00555075472870843,1.21672584104376e-06,4562.0422789301,NaN,NaN,NaN,0,0,0,0,"matched trim/load;full A;two-scale eigenstructure/modal analysis;partial two-scale B columns;scale-0.5 full-B diagnostic only","two-scale full B;coarse cyclicLong and differential-cyclicLong effectiveness"
