caseName,inputName,twoScaleComparable,M0_BcolumnNorm_scale05,M1_BcolumnNorm_scale05,signedRelativeNormChange,twoScaleNumericalFloor,signalToFloor,M0_udot,M0_wdot,M0_pdot,M0_qdot,M0_rdot,M1_udot,M1_wdot,M1_pdot,M1_qdot,M1_rdot
B15_V020,collective,0,47.1736460906318,,,,,10.4375680155414,-46.0043890299833,1.12536071833877e-14,0.0790530396407114,-3.16332847283536e-13,,,,,
B15_V020,diffCollective,0,80.2521289278835,,,,,6.06329794688033e-13,0,-79.9383358186371,-3.04493521461344e-14,-6.12060848546713,,,,,
B15_V020,cyclicLong,1,5.09356339808816,5.32850513417081,0.0461252207385568,1.25363956561018e-07,367930.480210287,4.95400173527742,0.910851003412972,2.26256821615439e-16,-0.756706909439414,5.06856577482827e-15,5.13247497787779,1.1928202435253,7.35334670250178e-15,-0.792368243293022,1.64728387681919e-13
B15_V020,diffCyclicLong,1,3.60526691287243,3.90383935906997,0.082815628749012,8.03289678917508e-08,1030955.96672688,0,2.42531920522191e-12,1.41451089974864,-6.08987009835464e-14,-3.31581767650015,-1.21265961584585e-12,0,1.88516783424636,9.13480498209583e-14,-3.41746528474191
B15_V020,aileron,1,0.135816065491361,0.135892690146612,0.000564179612874233,1.49251869655643e-09,378005.055598915,0,0,0.135783405050708,1.52246751941878e-14,0.0029783482651953,0,0,0.135860019824755,0,0.0029796389882397
B15_V020,elevator,1,0.490643088658542,0.490650179265982,1.44516606956818e-05,1.33043271402304e-07,108.623762354595,0.0471110181206313,-0.34278629682376,0,-0.347863115506494,0,0.0471085120134376,-0.342791441418134,0,-0.347868386318876,0
B15_V020,rudder,1,0.105104505197358,0.105104505197358,0,0,,0,0,0.0039373174571372,0,-0.0516265768079981,0,0,0.0039373174571372,0,-0.0516265768079981
B45_V035,collective,1,52.4487170598319,71.9235007592261,0.371310964140037,1.83450141730355e-05,20240.4293961141,30.9816740112413,-42.3190177583747,3.28314345341764e-12,0.32331509375248,7.12620184238887e-13,42.5512861632002,-57.9843970260432,-3.25333058225539e-12,0.433253789394551,-5.06111984346362e-14
B45_V035,diffCollective,1,81.2991065067258,110.182850901479,0.355277513318842,6.49490545166374e-06,54700.9523022131,-1.21265958937607e-12,4.85063835750426e-12,-78.8039727629887,0,-19.9085995355801,1.2126598011343e-12,-2.42533315479576e-12,-106.559792292888,0,-27.9091583095914
B45_V035,cyclicLong,1,4.89170050569644,6.65066931385961,0.359582277393072,0.000149446147219922,2406.09934804086,2.69922530249823,4.02331380876421,1.69611137091182e-12,-0.675175977054357,7.14737552628946e-13,3.01157445483356,5.86422181859719,6.60572351082774e-12,-0.879047261298555,1.73251473107032e-12
B45_V035,diffCyclicLong,1,6.98229722441534,10.1583756058891,0.454875849508069,0.00022410396062535,2029.75372786256,-1.21265958937607e-12,2.42531920522191e-12,6.77221251808573,6.14371939079572e-14,-1.69656653440836,-2.42531960226861e-12,2.42530604974145e-12,9.9808802365159,-1.84312675256641e-13,-1.88331858452702
B45_V035,aileron,1,0.126295664552313,0.138993772668034,0.100542707944352,7.83014215526604e-09,12840470.31978,0,0,0.125572289417266,6.14371911162226e-14,0.0134979633729235,0,2.42533315479576e-12,0.138271707653243,0,0.0141493357847415
B45_V035,elevator,1,1.48791016409821,1.47556748866952,-0.0082953095734584,1.38478441123065e-07,59903.2564649279,0.364680438082966,-1.00490968871357,0,-1.03491127737404,0,0.341372382047363,-0.999761977846598,0,-1.03016517998136,0
B45_V035,rudder,1,0.323276033262356,0.323276033262356,0,0,,0,0,0.0148028683781674,0,-0.160695120726107,0,0,0.0148028683781674,0,-0.160695120726107
B75_V080,collective,1,79.5225512316307,100.8433000363,0.268109466741917,0.000145568927382575,1841.80423365551,77.736404117483,-16.5967114124578,1.24815874119014e-12,-2.33169456882705,1.86042134240749e-13,98.0924582744068,-23.2417385737887,-4.29381067962375e-13,-2.65751386874567,-3.55355072564603e-13
B75_V080,diffCollective,1,80.5325721603016,104.373743562887,0.296043833731389,0.000100257614758162,2952.83140782368,0,0,-62.9505043034571,-6.19852887449185e-14,-50.2243600479778,6.06329900567151e-13,0,-82.8443245137054,6.19853152146981e-14,-63.4853280645828
B75_V080,cyclicLong,0,1.73158358488623,,,,,0.454298306893179,-1.6608538842144,-3.98695317520501e-13,0.183191525708463,3.20011479852862e-13,,,,,
B75_V080,diffCyclicLong,0,2.90052681002346,,,,,-1.21265958937607e-12,-2.42531917875213e-12,-2.87864670491897,-6.19852887449185e-14,-0.355588090582788,,,,,
B75_V080,aileron,1,3.27451687978441,3.2435544993362,-0.00945555683018757,1.70830385585686e-09,5535055.60370276,-6.06329801305478e-13,0,3.27249191467041,0,0.115141063091262,6.06329801305478e-13,-2.42531920522191e-12,3.24148679069212,0,0.115797996237244
B75_V080,elevator,1,8.46058411496797,8.45444479673024,-0.000725637633797551,1.57318475002471e-07,4612.53920613044,0.773525972799386,-5.80758309429802,0,-6.10369721879099,0,0.790391058573732,-5.80235130849663,0,-6.09800279503651,0
B75_V080,rudder,1,1.69491780120294,1.69491780120294,0,0,,0,0,0.102758079822759,0,-0.848794701574711,0,0,0.102758079822759,0,-0.848794701574711
