timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.01,79.2035749135921,1.3420998711166e-20,11.2602717955202,-2.21604767649638e-18,-6.97392413270947e-12,-3.31154791239665e-18,-2.22673211702343e-20,0.141222346794759,-8.64426611143899e-21,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.02,79.2035749136061,9.6228881108785e-19,11.2602717955097,-1.00278872774795e-17,-1.38458152806138e-11,-4.72978128591185e-18,-5.65234224479169e-20,0.141222346794655,-2.62576272259139e-20,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.03,79.2035749136207,2.91986067174861e-18,11.2602717954939,-7.55269074683347e-18,-2.0610640862913e-11,-7.13185702552129e-18,-1.33183270622011e-19,0.141222346794483,-7.75971969681203e-20,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.04,79.203574913636,7.90965272382705e-18,11.260271795473,-8.57910372027618e-18,-2.72635781843869e-11,-7.03399497128978e-18,-2.43878917423238e-19,0.141222346794243,-1.45380525580466e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.05,79.203574913652,1.33029951939044e-17,11.2602717954471,-9.66934115734045e-18,-3.38000208881601e-11,-8.26627350947633e-18,-3.19684904109896e-19,0.141222346793937,-2.20114645262985e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.06,79.2035749136686,1.92801466213154e-17,11.2602717954163,-1.12953574477998e-17,-4.02155613673766e-11,-9.91022288137795e-18,-4.61529921489603e-19,0.141222346793567,-3.16501807808572e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.07,79.2035749136858,2.4956278832798e-17,11.2602717953808,-1.13178531439427e-17,-4.65060226730957e-11,-1.03428553535915e-17,-5.79056687232738e-19,0.141222346793133,-4.20923744441557e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.08,79.2035749137036,3.33270779112314e-17,11.2602717953406,-1.34594226398796e-17,-5.26674287516679e-11,-1.1938040579267e-17,-7.06926727047613e-19,0.141222346792637,-5.2525109818215e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.09,79.203574913722,4.19602390751784e-17,11.260271795296,-1.08953100035498e-17,-5.86960072582863e-11,-1.22722972402135e-17,-8.37747799031328e-19,0.14122234679208,-6.45312368450015e-19,79.2035749135788,0,11.2602717955253,0,0,0,0,0.141222346794795,0,1,1,NONE
0.1,79.2035761811782,-9.29314189132726e-08,11.260270995239,-4.36324789730643e-07,2.80184090529493e-08,-2.22535053784142e-06,-9.60493316315065e-19,0.141222346791463,-7.77298882745539e-19,79.2035749135788,-9.29419031914707e-08,11.2602717955253,-4.39633909410469e-07,-6.76154619272022e-18,-2.2266725349497e-06,0,0.141222346794795,0,1,1,NONE
0.11,79.2035786968496,3.12530075073153e-06,11.2602694487552,-1.25363021713613e-06,8.60381497825448e-08,-6.61520850285379e-06,-1.48929198228814e-08,0.141222347357154,-4.48010840686461e-08,79.2035749135788,3.126603493244e-06,11.2602717955253,-1.26338235238779e-06,-2.00721111681937e-17,-6.6191138937538e-06,-1.49623989572498e-08,0.141222346794795,-4.48276362194239e-08,1,1,NONE
0.12,79.2035811932146,9.68651256702952e-06,11.2602679571774,-2.01780935135084e-06,1.45802523050919e-07,-1.09438901601859e-05,-4.38864685703931e-08,0.141222348511993,-1.3363386700328e-07,79.2035749135788,9.69041655081798e-06,11.2602717955253,-2.03383419908303e-06,-3.31579370074569e-17,-1.09503195729125e-05,-4.40926258318064e-08,0.141222346794795,-1.33712762656601e-07,1,1,NONE
0.13,79.2035836702205,1.95414432421305e-05,11.260266521454,-2.73059401653316e-06,2.07219499004794e-07,-1.52111500405575e-05,-8.63709645898573e-08,0.141222350272963,-2.65879156521866e-07,79.2035749135788,1.95492002678538e-05,11.2602717955253,-2.75272511468064e-06,-4.60098432723086e-17,-1.52200450687627e-05,-8.67792314434667e-08,0.141222346794795,-2.66035592174125e-07,1,1,NONE
0.14,79.2035861278252,3.26405897889313e-05,11.2602651424553,-3.39368617918985e-06,2.70197153244249e-07,-1.94167577559751e-05,-1.4175355622359e-07,0.141222352656125,-4.40915357147031e-07,79.2035749135788,3.26534160109688e-05,11.2602717955253,-3.42176083615481e-06,-5.86190721289644e-17,-1.94280609464204e-05,-1.42427635944562e-07,0.141222346794795,-4.41173944092854e-07,1,1,NONE
0.15,79.203588565997,4.89342210308916e-05,11.2602638209732,-4.0087582553696e-06,3.3464375930502e-07,-2.35604980013292e-05,-2.0945794622285e-07,0.141222355676619,-6.58118622559785e-07,79.2035749135788,4.89532975180032e-05,11.2602717955253,-4.04261748028971e-06,-7.0977288915222e-17,-2.35741528415605e-05,-2.10459852513596e-07,0.141222346794795,-6.58503396420101e-07,1,1,NONE
0.16,79.2035909847139,6.83723915802527e-05,11.2602625577227,-4.57745341426427e-06,4.00467879057917e-07,-2.76421705497834e-05,-2.8892411921201e-07,0.141222359348669,-9.16863007937524e-07,79.2035749135788,6.83988648693661e-05,11.2602717955253,-4.61694184821254e-06,-8.30765822627246e-17,-2.76581214558925e-05,-2.90314214109377e-07,0.141222346794795,-9.17397438063709e-07,1,1,NONE
0.17,79.2035933839644,9.090495577972e-05,11.2602613533423,-5.10138587843713e-06,4.67578451054252e-07,-3.16615902418235e-05,-3.79608072160109e-07,0.141222363685585,-1.21652062221233e-06,79.2035749135788,9.09399384230082e-05,11.2602717955253,-5.1463517265496e-06,-9.49094637830565e-17,-3.16797825464376e-05,-3.81445103242444e-07,0.141222346794795,-1.21722762096884e-06,1,1,NONE
0.18,79.2035957637466,0.000116481581603006,11.260260208395,-5.58214122081989e-06,5.35884876719643e-07,-3.56185869683149e-05,-4.80981547818548e-07,0.141222368699767,-1.55646178018859e-06,79.2035749135788,0.000116526152708315,11.2602717955253,-5.63243618531225e-06,-1.06468867326676e-16,-3.56389669087135e-05,-4.83322684721825e-07,0.141222346794795,-1.55736371211544e-06,1,1,NONE
