collective75_deg,CT_M1F0_standard,sigmaLandgrebe,thetaTwEq_deg,wakeK1,wakeK2,wakeGammaContract,actualRawWakeAreaMean_mps,canonicalPositiveGammaAreaMean_mps,rootFilamentMeanContribution_mps,interiorSheetMeanContribution_mps,tipFilamentMeanContribution_mps,actualRawMeanPositive,canonicalSignCheckPositive,actualSkippedNearSingular,canonicalSkippedNearSingular
6,0.00505553873897218,0.0891267681314614,-37.0729035816224,-0.00491252710664226,-0.0446093123962424,0.281499545952249,5.15717297137767,13.6370807572407,0.157042984387733,15.2414665242269,-10.241336537237,1,1,0,0
7,0.00613319704600448,0.0891267681314614,-37.0729035816224,-0.00793535158918931,-0.0491343558384402,0.310596320242121,9.06084984609292,13.5502436907326,0.143883896320048,14.0024408565924,-5.08547490681948,1,1,0,0
8,0.00728351709134767,0.0891267681314614,-37.0729035816224,-0.0111619917710886,-0.0535441932765022,0.341654961466387,11.0213038284943,12.6752394637578,0.129990504607306,11.9195863863878,-1.02827306250083,1,1,0,0
9,0.00844219509056753,0.0891267681314614,-37.0729035816224,-0.0144120759587897,-0.0576460427985735,0.372939267445323,12.0535032331429,11.9687170507294,0.117700011175059,9.74513422687552,2.19066899509228,1,1,0,0
10,0.00966185712409753,0.0891267681314614,-37.0729035816224,-0.0178332199627185,-0.0616697394157867,0.405870142350633,13.2696412620929,11.5127029610468,0.106331275769206,7.46784045080223,5.69546953552145,1,1,0,0
11,0.0108963340466025,0.0891267681314614,-37.0729035816224,-0.0212959196330469,-0.0654910588722506,0.439201019258268,14.6654652674339,11.2552586760998,0.0954738185714234,5.49670144425138,9.07329000461109,1,1,0,0
