wakeTurns,segmentsPerRev,CT_model,CP_model,FM_model,viAreaMean_mps,viMin_mps,viMax_mps,viCV,iterations,physicalConverged,failureCode,CT_deltaFromPrimary_pct,CP_deltaFromPrimary_pct,FM_deltaFromPrimary_pct
2,36,0.0100853107111087,0.0008234453129864,0.869729426329397,16.6362554365428,5.93814863629009,23.9564048543182,0.381713814395024,20,0,NOT_CONVERGED,-0.651530704629509,-0.59753154971613,-0.380444202598199
3,24,0.0101423769170634,0.000828827734848576,0.871425663711829,16.6703540254999,7.27661379811921,23.9026755271683,0.352483280522506,20,0,NOT_CONVERGED,-0.0893824106911155,0.0522092538361792,-0.186155715340772
3,36,0.0101514505282657,0.000828395235877111,0.873050897856022,16.6777597588577,7.32160502261679,23.9912877940763,0.354101565253976,20,0,NOT_CONVERGED,0,0,0
3,48,0.0101547728235957,0.000828250997516569,0.873631636679925,16.6804578428025,7.3374342011293,24.0232106189058,0.354706621540507,20,0,NOT_CONVERGED,0.0327272966633374,-0.0174117805480298,0.0665183238833686
4,36,0.0101705572343636,0.000829680217425398,0.874160924327089,16.6930487367971,7.93094077785996,23.9232294267111,0.342054103563472,20,0,NOT_CONVERGED,0.188216511962892,0.155116965022986,0.127143385774311
