Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31
1.9,32.5119370921152,2.50585749245402e-15,-3.17369274781011e-16,-0.000319208546328919,-7.75119073413237e-17,-2.96501897575711e-17,0.379460804972359,-7.52118590036639e-17,0.786282414755595,0,32.5119423530153,1.14002385262893e-14,-9.68531251940614e-16,-0.000319234881681298,-1.35126439590813e-15,-1.20028048550739e-15,0.379460791464699,-8.94869639386839e-16,0.786282414755595,0,-5.26090001073953e-06,-8.89438103383531e-15,6.51161977159603e-16,2.63353523796304e-08,1.27375248856681e-15,1.17063029574982e-15,1.3507660212575e-08,8.19657780383175e-16,0,0
1.95,32.5122746296046,2.43646171703003e-15,-2.56314341753418e-16,-0.000331336177479981,-7.83061165914591e-17,-4.39509940879108e-17,0.379444534596662,-7.92646973130325e-17,0.78628157350446,0,32.5122801947714,1.24394971305935e-14,-9.35788346331552e-16,-0.000331363938820274,-1.39276765507088e-15,-1.27533845115082e-15,0.379444519737588,-9.68753670501743e-16,0.78628157350446,0,-5.56516677363561e-06,-1.00030354135635e-14,6.79474004578134e-16,2.77613402932639e-08,1.31446153847942e-15,1.23138745706291e-15,1.48590739157406e-08,8.89488973188711e-16,0,0
2,32.5126242490651,2.36955271395887e-15,-1.74398892748977e-16,-0.000342910973398739,-7.06405852210228e-17,-5.71896417309394e-17,0.379427671516708,-8.31814704784019e-17,0.786280598082783,0,32.5126301217338,1.35291250573259e-14,-8.97732850077311e-16,-0.000342940258702685,-1.43251992772506e-15,-1.34943274029742e-15,0.379427655232796,-1.04482371091585e-15,0.786280598082783,0,-5.87266875129444e-06,-1.11595723433671e-14,7.23333957328334e-16,2.92853039464522e-08,1.36187934250404e-15,1.29224309856648e-15,1.62839122186398e-08,9.61642240437452e-16,0,0
2.05,32.512985616841,2.34995152080368e-15,-1.9574177047846e-16,-0.000353924197336606,-8.11449382328225e-17,-6.6271629777826e-17,0.379410243626088,-8.69066396343355e-17,0.786279558524964,0,32.5129918009049,1.46699557869067e-14,-8.54646655742737e-16,-0.00035395513163303,-1.47060252903361e-15,-1.42227116642159e-15,0.379410225838359,-1.12298761599262e-15,0.786279558524964,0,-6.18406388497306e-06,-1.2320004266103e-14,6.58904885264277e-16,3.09342964243363e-08,1.38945759080079e-15,1.35599953664377e-15,1.77877291784867e-08,1.03608097635829e-15,0,0
2.1,32.5133583999957,2.32319537850441e-15,-1.55041904761964e-16,-0.000364369523748656,-7.83134555229345e-17,-7.55972325614706e-17,0.379392279191848,-9.11767226666656e-17,0.786278507800583,0,32.5133649000572,1.58629217332042e-14,-8.06855023979576e-16,-0.000364402260444096,-1.50709948466491e-15,-1.49357628372482e-15,0.379392259814379,-1.20315791034074e-15,0.786278507800583,0,-6.50006157343341e-06,-1.35397263546998e-14,6.51813119217612e-16,3.27366954403982e-08,1.42878602914197e-15,1.41797905116335e-15,1.93774694068338e-08,1.11198118767407e-15,-1.11022302462516e-16,0
2.15,32.513742267148,2.30051029412547e-15,-1.55885723534251e-16,-0.000374242836330188,-8.84551406427952e-17,-8.48963931331622e-17,0.379373806739526,-9.5334213814313e-17,0.786277484702839,0,32.5137490885542,1.7108963441603e-14,-7.54639847352674e-16,-0.000374277558151914,-1.54209210978188e-15,-1.56309064593075e-15,0.379373785678001,-1.2852513500724e-15,0.786277484702839,0,-6.82140625229977e-06,-1.48084531474775e-14,5.98754123818423e-16,3.47218217266782e-08,1.45363696913908e-15,1.47819425279759e-15,2.1061524968502e-08,1.18991713625809e-15,-1.11022302462516e-16,0
2.2,32.5141368892205,2.30525529938204e-15,-1.14832457939953e-16,-0.000383542060981777,-7.74763711532605e-17,-9.34074991921167e-17,0.379354854947304,-1.00017325613374e-16,0.786276516425256,0,32.5141440380839,1.8409103450277e-14,-6.98283018426877e-16,-0.000383578980547726,-1.57565900904203e-15,-1.63057035514414e-15,0.379354832097531,-1.36918906871721e-15,0.786276516425256,0,-7.14886339636678e-06,-1.61038481508949e-14,5.83450560486925e-16,3.69195659484772e-08,1.49818263788877e-15,1.53716285595203e-15,2.28497728516075e-08,1.26917174310383e-15,-1.11022302462516e-16,0
2.25,32.5145419401226,2.28822801763944e-15,-9.41051129170187e-17,-0.000392267026253667,-6.28314275333906e-17,-1.0058961674435e-16,0.379335452547737,-1.03910497325544e-16,0.78627562082469,0,32.5145494233303,1.97643995339708e-14,-6.38066429767032e-16,-0.000392306386280753,-1.60787065558657e-15,-1.69578823334946e-15,0.379335427794143,-1.45489635835131e-15,0.786275620824691,0,-7.48320766774668e-06,-1.74761715163313e-14,5.43961316850014e-16,3.936002708672e-08,1.54503922805318e-15,1.59519861660511e-15,2.47535942854427e-08,1.35098586102577e-15,-1.11022302462516e-16,0
2.3,32.5149570973863,2.28791518972512e-15,-5.34468161020052e-17,-0.000400419344916034,-6.00877858586788e-17,-1.05502166895197e-16,0.379315628235845,-1.07216164872402e-16,0.786274808379918,0,32.5149649225995,2.11759386053622e-14,-5.74250289894536e-16,-0.000400461418081077,-1.63879345679857e-15,-1.75853143771894e-15,0.379315601449969,-1.54230208594174e-15,0.786274808379919,0,-7.82521314590667e-06,-1.88880234156371e-14,5.2080347379253e-16,4.20731650430453e-08,1.5787056709399e-15,1.65302927082374e-15,2.67858763502993e-08,1.43508592106934e-15,-1.11022302462516e-16,0
2.35,32.5153820427691,2.29762456826875e-15,-4.86503036515088e-17,-0.000408002311325775,-5.74784555722059e-17,-1.09090550439873e-16,0.379295410582672,-1.10361690393546e-16,0.78627408386285,0,32.5153902184142,2.264483535981e-14,-5.07073123287334e-16,-0.000408047399795373,-1.66849043192931e-15,-1.81860146061257e-15,0.379295381621675,-1.63133869334643e-15,0.78627408386285,0,-8.17564517774372e-06,-2.03472107915412e-14,4.58422819635825e-16,4.50884695981334e-08,1.6110119763571e-15,1.7095109101727e-15,2.89609966563908e-08,1.52097700295288e-15,-1.11022302462516e-16,0
