time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
0.05,32.5081027706018,-6.74353500604385e-18,12.9700907574836,3.48288524233551e-21,1.09225684220943e-11,-1.88869949261017e-21,-2.57980849005636e-19,0.379626967629054,-4.93553535284325e-21,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.0056354225535e-13,2.20474645446635e-16,-1.45594144578056e-11,0,1,35.0000000000195,0.379626967628367,-1.92672428744003e-19
0.075,32.5081027706108,-3.54692586158204e-18,12.970090757487,1.00680104792255e-17,1.62822675906474e-11,-3.88788516476155e-18,-3.03153761510847e-19,0.379626967629395,-1.14697430709489e-19,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.77705825056224e-14,-2.41196232771382e-15,7.64178366847325e-15,0,1,35.0000000000292,0.379626967628363,-1.0134073890226e-19
0.1,32.508102770618,-6.15004206160758e-19,12.9700907574946,1.00647541740642e-17,2.15701639980497e-11,-3.88157703331925e-18,-9.02522533468432e-20,0.379626967629869,-2.19288406247351e-19,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.32744755720277e-13,-7.27620832518619e-11,-4.36408287490043e-11,0,1,35.0000000000387,0.379626967628489,-1.75715487474308e-20
0.125,32.5081027706235,-5.68611405900657e-18,12.9700907575063,-4.18055392038566e-17,2.67833712962659e-11,-1.90299470919095e-17,-1.30313761014132e-18,0.379626967630473,-6.77309568523814e-19,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.89922352552378e-12,1.4557062654715e-11,-7.22679734799409e-12,0,1,35.0000000000481,0.379626967628742,-1.62460401685679e-19
0.15,32.5081027706272,-1.00119444407153e-18,12.9700907575221,-3.1735919731425e-17,3.19191208878773e-11,-2.28908071701702e-17,-2.302432437032e-18,0.379626967631208,-1.23904353686547e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-5.37686476168322e-13,2.46638138049167e-15,-7.21157662066589e-12,0,1,35.0000000000574,0.37962696762912,-2.86055555448539e-20
0.175,32.5081027706292,8.21353526167967e-18,12.9700907575417,-3.17308965520081e-17,3.69747880608869e-11,-2.28503028316276e-17,-3.34652199738476e-18,0.379626967632069,-1.90952222393742e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,1.96888894975399e-13,1.45540802383006e-11,-7.20394415265953e-12,0,1,35.0000000000665,0.379626967629619,2.34672436047545e-19
0.2,32.5081027706295,2.36263737694726e-17,12.970090757565,-3.1821121309001e-17,4.19478757894594e-11,-2.48407369885179e-17,-4.13203878283516e-18,0.379626967633056,-2.57391509046797e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,1.90776527500934e-12,1.82055678260999e-12,-1.71927078697179e-11,0,1,35.0000000000754,0.379626967630236,6.75039250554906e-19
0.225,32.5081027706281,4.15084934119327e-17,12.970090757592,-2.05088526205133e-17,4.68360198156897e-11,-2.9410059834667e-17,-5.19648832219866e-18,0.379626967634167,-3.37147373506229e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.84619906139288e-12,-5.42459533275433e-15,-1.44338642547927e-11,0,1,35.0000000000842,0.379626967630967,1.1859569546238e-18
0.25,32.5081027706251,5.30778451365924e-17,12.9700907576226,-5.17155485140155e-17,5.16369770281338e-11,-4.00726173611554e-17,-6.04751153722989e-18,0.379626967635398,-4.27185257880675e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-5.5053498523396e-13,7.5063551982535e-16,-1.44006473529025e-11,0,1,35.0000000000927,0.379626967631811,1.51650986104148e-18
0.275,32.5081027706204,6.792535075126e-17,12.9700907576566,-5.17132663939649e-17,5.6348639843151e-11,-3.99771476162712e-17,-7.78484317414697e-18,0.379626967636749,-5.45897632753367e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,2.57310800094149e-13,-2.9103562377184e-11,-7.10963801189436e-12,0,1,35.000000000101,0.379626967632762,1.94072430717326e-18
0.3,32.5081027706142,7.93916587168288e-17,12.9700907576939,-3.11175769556032e-17,6.09690306311593e-11,-3.74750400718393e-17,-1.00145660198918e-17,0.379626967638216,-6.59846616762686e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.25603077147177e-12,1.4547224759251e-11,7.4415117707975e-12,0,1,35.000000000109,0.379626967633819,2.26833310618805e-18
0.325,32.5081027706063,9.58762261953573e-17,12.9700907577345,-2.09673767239353e-17,6.54962883972442e-11,-3.92363945776009e-17,-1.08852334639657e-17,0.379626967639797,-7.5461466534972e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,2.45416990590438e-13,-1.12115735849224e-14,-7.08798417261517e-12,0,1,35.0000000001168,0.379626967634977,2.73932074842964e-18
0.35,32.508102770597,1.18105271739041e-16,12.9700907577781,-3.12265599848156e-17,6.99286879322828e-11,-3.93062050877519e-17,-1.18230070608116e-17,0.37962696764149,-8.65566247972495e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,7.05513200715314e-14,-1.45615076797085e-11,-7.98158614268462e-12,0,1,35.0000000001242,0.379626967636234,3.37443633538918e-18
0.375,32.5081027705861,1.35823372122926e-16,12.9700907578247,-3.14269073605339e-17,7.42646202358392e-11,-4.35138552830332e-17,-1.3278729635849e-17,0.379626967643293,-9.77872863695254e-18,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.66832211408458e-12,2.90934648089113e-11,7.50337296733854e-12,0,1,35.0000000001314,0.379626967637586,3.88066777492618e-18
0.4,32.5081027705738,1.57497147844952e-16,12.9700907578742,-1.07636168997892e-17,7.85026025237069e-11,-3.89465777810667e-17,-1.39592481172266e-17,0.379626967645204,-1.0883549681778e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-4.05460550097313e-13,1.45363569936928e-11,-7.04219205464009e-12,0,1,35.0000000001383,0.37962696763903,4.499918509838e-18
0.425,32.5081027705599,1.86357413974834e-16,12.9700907579265,-1.09692516652614e-17,8.26412720301921e-11,-4.28816277913279e-17,-1.43809468972949e-17,0.379626967647219,-1.19799829262679e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.52428621260715e-12,2.90835971300414e-11,2.20928674446167e-11,0,1,35.0000000001448,0.379626967640563,5.32449754211608e-18
0.45,32.5081027705447,2.14750311213945e-16,12.9700907579813,5.09498703365302e-17,8.66793818083056e-11,-3.14533224771474e-17,-1.44985542641793e-17,0.379626967649336,-1.29578522544954e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.31019290910077e-12,1.26982050978543e-11,-7.93132450271139e-12,0,1,35.000000000151,0.379626967642181,6.13572317751483e-18
0.475,32.508102770528,2.55272992904509e-16,12.9700907580388,8.04466640050431e-17,9.06158091953759e-11,-2.89914907333935e-17,-1.33380303017314e-17,0.379626967651553,-1.38599180461608e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.66221702057396e-12,-1.27756026009471e-11,-6.99277822971089e-12,0,1,35.0000000001568,0.379626967643881,7.29351408295331e-18
0.5,32.50810277051,2.9774915194181e-16,12.9700907580986,7.13349240228715e-17,9.44495369799105e-11,-3.10203450582254e-17,-1.18642987894776e-17,0.379626967653867,-1.46972924574604e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.54531453122375e-12,-1.45940112861243e-11,-2.15128927526481e-11,0,1,35.0000000001622,0.37962696764566,8.50711862686941e-18
0.525,32.5081027704907,3.41623714352064e-16,12.9700907581608,2.97386350198657e-17,9.81796694868598e-11,-4.3779907011834e-17,-1.07159633269175e-17,0.379626967656275,-1.56993083223723e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-8.89214126212279e-14,-3.82697131867319e-14,3.79467572376008e-13,0,1,35.0000000001673,0.379626967647514,9.76067755286945e-18
0.55,32.50810277047,3.85901886646386e-16,12.9700907582251,5.03702215962592e-17,1.01805419144232e-10,-3.91189626631482e-17,-1.04086797341921e-17,0.379626967658776,-1.68748578772586e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.28342389103555e-12,-4.77445241386233e-14,4.01324668768045e-13,0,1,35.0000000001719,0.379626967649441,1.10257681898426e-17
0.575,32.508102770448,4.28519169954543e-16,12.9700907582915,4.92952686895172e-17,1.05326112728807e-10,-3.30535369839821e-17,-9.53921593683976e-18,0.379626967661365,-1.79247902601441e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.64918487024809e-12,-1.46004699463965e-11,-2.14186289151505e-11,0,1,35.0000000001761,0.379626967651436,1.22434048557825e-17
0.6,32.5081027704248,4.6863515019142e-16,12.9700907583599,3.87145915694494e-17,1.08741185030426e-10,-3.91022538385402e-17,-8.96197352777892e-18,0.379626967664042,-1.89808241388033e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.03757714294403e-12,-4.7786523479913e-14,2.22841792264698e-11,0,1,35.0000000001799,0.379626967653497,1.3389575719686e-17
