localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,timeConstantSeconds,doublingTimeSeconds,halvingTimeSeconds,dominantState,dominantStateParticipation,betaSymParticipation,betaDiffParticipation,rigidBodyParticipation,stable,pointId,betaMDeg,speedMps
7,short-period-like,-0.380398421040885,-0.698341124943148,0.478353013552001,0.795225304877341,0.111144441999057,2.62882268875801,NaN,1.82216103490463,w,0.437897925673953,0,0,1,1,B45_V025,45,25
8,longitudinal aperiodic,0.207617820520645,0,-1,0.207617820520645,0,4.81654222885247,3.338572665977,NaN,theta,0.70699725707183,0,0,1,0,B45_V025,45,25
9,longitudinal aperiodic,-0.137260723689666,0,1,0.137260723689666,0,7.28540527194734,NaN,5.04985812348686,u,0.816589454723374,0,0,1,1,B45_V025,45,25
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSymDot,0.5,1,0,0,1,B45_V025,45,25
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSymDot,0.5,1,0,0,1,B45_V025,45,25
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B45_V025,45,25
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B45_V025,45,25
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B45_V035,45,35
2,roll-like,-2.02076256047343,0,1,2.02076256047343,0,0.494862691718574,NaN,0.343012679529035,p,0.820511849947446,0,0,1,1,B45_V035,45,35
3,dutch-roll-like,-0.0835719264873782,0.771942446478788,0.107632936369401,0.776453094251332,0.12285845613955,11.9657406743044,NaN,8.29401941170557,v,0.479905151801379,0,0,1,1,B45_V035,45,35
4,dutch-roll-like,-0.0835719264873782,-0.771942446478788,0.107632936369401,0.776453094251332,0.12285845613955,11.9657406743044,NaN,8.29401941170557,v,0.479905151801379,0,0,1,1,B45_V035,45,35
5,short-period-like,-0.466884312172122,1.09948933963842,0.39085794047273,1.19451151896119,0.174989163280298,2.14185821611273,NaN,1.48462298365769,q,0.485080856911397,0,0,1,1,B45_V035,45,35
