Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31
1.05,32.5083369471028,1.72650013678753e-15,1.44267678862463e-16,-5.78479159782674e-05,-4.91866258715314e-18,6.75150844584249e-17,0.37962525634196,-2.07968074473356e-17,0.786063884627015,0,32.5083376209317,9.13123436927238e-16,-5.19430995174595e-16,-5.78520886616268e-05,-3.75002215341735e-16,-1.25386273252512e-16,0.379625255714439,-7.23964721339968e-17,0.786063884627015,0,-6.73828957076239e-07,8.13376699860289e-16,6.63698674037058e-16,4.17268335933341e-09,3.70083552754581e-16,1.92901357710937e-16,6.27521257179353e-10,5.15996646866611e-17,0,0
1.1,32.5084276627859,1.85800022252232e-15,9.9770253359214e-17,-7.32360198339043e-05,-1.6942976698428e-17,7.33201911928248e-17,0.379621988407701,-2.17293064681156e-17,0.786105731880713,0,32.5084285247747,1.17551560926178e-15,-5.93243479077408e-16,-7.32412850382709e-05,-4.3868621807446e-16,-1.61324527980986e-16,0.37962198754579,-9.42682962938774e-17,0.786105731880713,0,-8.61988823430693e-07,6.8248461326054e-16,6.93013732436622e-16,5.26520436667057e-09,4.21743241376032e-16,2.34644719173811e-16,8.61910209870587e-10,7.25389898257618e-17,0,0
1.15,32.5085336780381,1.98484411079547e-15,1.66151328178867e-16,-8.91652257749346e-05,-1.0600030139907e-17,7.90088212328985e-17,0.379617935212823,-2.25805289611803e-17,0.786141692777948,0,32.5085347487316,1.47881405193784e-15,-6.6421535328831e-16,-8.9171684749845e-05,-5.03747157566241e-16,-2.02189587803049e-16,0.379617934059118,-1.19616410013989e-16,0.786141692777948,0,-1.07069343613375e-06,5.0603005885763e-16,8.30366681467177e-16,6.45897491043199e-09,4.93147127426334e-16,2.81198409035948e-16,1.15370579756302e-09,9.70358810528091e-17,0,0
1.2,32.5086552130569,2.12318127048041e-15,1.19201060503808e-16,-0.000105471603171181,-1.88910347036743e-17,8.57071101816931e-17,0.379613074074973,-2.34065531538713e-17,0.786172162218969,0,32.508656510497,1.82425814356385e-15,-7.31110627330665e-16,-0.000105479336000785,-5.69455230229725e-16,-2.47824477528197e-16,0.379613072567507,-1.48494108351339e-16,0.786172162218969,0,-1.29744008603438e-06,2.98923126916564e-16,8.50311687834473e-16,7.73282960437444e-09,5.50564195526051e-16,3.3353158770989e-16,1.50746626292886e-09,1.25087555197467e-16,0,0
1.25,32.5087923793269,2.23385952445627e-15,9.79473628037018e-17,-0.000122011569121351,-2.55565098812239e-17,8.79296249056981e-17,0.37960738997865,-2.50937858805416e-17,0.78619761329495,0,32.508793918937,2.21280062679887e-15,-7.92888467118889e-16,-0.000122020634088145,-6.35177533046723e-16,-2.98003315052829e-16,0.379607388051995,-1.80917952535139e-16,0.78619761329495,0,-1.53961011761794e-06,2.10588976573957e-17,8.90835829922591e-16,9.06496679387297e-09,6.09621023165499e-16,3.85932939958527e-16,1.92665555731608e-09,1.55824166654597e-16,1.11022302462516e-16,0
1.3,32.5089451977544,2.37894827222547e-15,1.15612858143839e-16,-0.000138660046527518,-1.92559720554674e-17,9.34474029621838e-17,0.379600874602235,-2.61808405934764e-17,0.786218559716021,0,32.5089469923806,2.64519739384503e-15,-8.48724879001893e-16,-0.000138670480866502,-7.00379418820928e-16,-3.52440833846095e-16,0.379600872188586,-2.16872986389228e-16,0.786218559716021,0,-1.79462624316784e-06,-2.66249121619564e-16,9.64337737145732e-16,1.04343389837193e-08,6.81123446765461e-16,4.45888236808279e-16,2.41364933595278e-09,1.90692145795751e-16,1.11022302462516e-16,0
1.35,32.50911361439,2.52745215021654e-15,1.3523417156653e-16,-0.000155308596129541,-2.54833472477062e-17,9.85688442968852e-17,0.379593525438977,-2.78501981805767e-17,0.786235527183033,0,32.5091156744612,3.12201324627157e-15,-8.98034393806533e-16,-0.000155320417925741,-7.64615687035263e-16,-4.10808437684725e-16,0.379593522469172,-2.56318025711443e-16,0.786235527183033,0,-2.06007112524276e-06,-5.94561096055029e-16,1.03326856537306e-15,1.18217961999213e-08,7.39132339787557e-16,5.0937728198161e-16,2.96980434688621e-09,2.28467827530866e-16,1.11022302462516e-16,0
1.4,32.5092975139249,2.68824370398162e-15,1.13503006253514e-16,-0.000171863592372874,-3.99416555476987e-17,1.03527000978701e-16,0.379585345011168,-2.98438688738506e-17,0.786249032218685,0,32.5092998476945,3.64370625949636e-15,-9.40318278533468e-16,-0.000171876803347674,-8.27532616730955e-16,-4.72741351964872e-16,0.379585341415589,-2.99190327518861e-16,0.786249032218685,0,-2.33376960068199e-06,-9.55462555514743e-16,1.05382128478698e-15,1.32109747997655e-08,7.87590961183256e-16,5.76268352943573e-16,3.59557866813631e-09,2.69346458645011e-16,2.22044604925031e-16,0
1.45,32.5094967311643,2.88360675123524e-15,2.36644821688919e-16,-0.000188244491983867,-1.91276326670553e-17,1.1169215062572e-16,0.379576340173841,-3.1435735038823e-17,0.786259567127901,0,32.5094993450035,4.21063489786267e-15,-9.75403060835099e-16,-0.000188259080928602,-8.88851025848588e-16,-5.37852320780935e-16,0.379576335883151,-3.45410368728476e-16,0.786259567127901,0,-2.61383924282654e-06,-1.32702814662743e-15,1.21204788252402e-15,1.45889447352961e-08,8.69723393181533e-16,6.49544471406655e-16,4.2906904695883e-09,3.13974633689653e-16,1.11022302462516e-16,0
1.5,32.5097110606975,3.07617107978346e-15,1.09597773860014e-16,-0.000204382227256603,-3.92726783356939e-17,1.19963964687494e-16,0.379566521502326,-3.26812283156427e-17,0.786267589914513,0,32.5097139594126,4.82309189595708e-15,-1.00302853219003e-15,-0.000204398173896462,-9.48367626480822e-16,-6.05739518008136e-16,0.379566516448023,-3.94885639918955e-16,0.786267589914513,0,-2.89871507419548e-06,-1.74692081617362e-15,1.11262630605004e-15,1.59466398592391e-08,9.09094948145128e-16,7.25703482695631e-16,5.05430297614851e-09,3.62204411603312e-16,0,0
