pointId,pathId,sequenceInPath,modeId,localModeIndex,realPartPerSecond,imagPartRadPerSecond,dampingRatio,frequencyHz,modeName,headingIntegrator,matchingConfidence,matchingStatus
B45_V025,B45_SPEED_PATH,1,203,3,-0.0805374531093125,0.584320883987493,0.13654001813869,0.0929975570384354,dutch-roll-like,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,204,4,-0.0805374531093125,-0.584320883987493,0.13654001813869,0.0929975570384354,dutch-roll-like,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,205,5,-0.0259420781257023,0,1,0,spiral-like,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,206,6,-0.380398421040878,0.698341124943156,0.47835301355199,0.111144441999058,short-period-like,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,207,7,-0.380398421040878,-0.698341124943156,0.47835301355199,0.111144441999058,short-period-like,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,208,8,-0.137260723689657,0,1,0,longitudinal aperiodic,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,209,9,0.207617820520625,0,-1,0,longitudinal aperiodic,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,210,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,211,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,212,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,1,PATH_START_UNMATCHED
B45_V025,B45_SPEED_PATH,1,213,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,1,PATH_START_UNMATCHED
B45_V035,B45_SPEED_PATH,2,201,1,0,0,NaN,0,heading kinematic integrator,1,1,RESERVED_HEADING_INTEGRATOR
B45_V035,B45_SPEED_PATH,2,202,2,-2.02076256047343,0,1,0,roll-like,0,0.92414749190596,MATCHED
B45_V035,B45_SPEED_PATH,2,203,3,-0.0835719264873784,0.771942446478788,0.107632936369401,0.12285845613955,dutch-roll-like,0,0.931703156192184,MATCHED
