time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
2.9,32.9620908113037,3.03942400064555,13.0693200644028,0.0278948747414772,-0.0354222202447095,-0.0118407952828651,0.108048672607159,0.355583996827868,-0.0301808385763978,0.873625849015888,0.873048257780754,-0.00205859456936837,-0.00151517661480619,0.873337053398321,-0.000288795617566728,3975.63881940441,-1301.67729689331,1577.91146795558,0,1,35.5885466948867,0.377481594294901,0.0855087200487207
2.925,32.9779533839694,3.07423169099481,13.0609250993609,0.0261079050475919,-0.0357533819969262,-0.0109729001222566,0.1085825918997,0.354730263105224,-0.0305859517276832,0.873573695225698,0.873011490559696,-0.00209900654680049,-0.00142574323039357,0.873292592892697,-0.000281102333001437,3984.54066807517,-1276.22850653914,1613.55313260213,0,1,35.6031469723715,0.377096748121635,0.0864548498905087
2.95,32.9940725176116,3.1077716094917,13.0524797102055,0.0243578462802329,-0.0360693457939988,-0.0100852794446103,0.109080259592569,0.353866301168917,-0.0309690758398213,0.873520872728979,0.872976964142584,-0.00211407522647787,-0.00133639126973903,0.873248918435782,-0.000271954293197707,3992.28676651724,-1251.51068787369,1647.2826945129,1,1,35.6178928666408,0.376708173416535,0.0873641933259586
2.975,33.0104473108915,3.14003519633717,13.0439992409394,0.0226436239728569,-0.0363703439423862,-0.00917901261697197,0.109542747583467,0.352992400106005,-0.031329650005819,0.873467967765111,0.872944665452653,-0.00210741177431571,-0.00124793295599902,0.873206316608882,-0.00026165115622917,3998.93907204732,-1227.55468868343,1679.14011457955,0,1,35.6327850286363,0.376316292644512,0.0882365342072809
3,33.0270768464369,3.17101461897369,13.0354986041382,0.0209641270847039,-0.0366566178396226,-0.00825515659880194,0.109971088179888,0.352108847886324,-0.0316671424603674,0.873415480585462,0.872914562797388,-0.00208229347286918,-0.00116105207971561,0.873165021691425,-0.000250458894037353,4004.55701344515,-1204.38152640582,1709.16588914785,0,1,35.6478240933816,0.375921516906209,0.0890716782183929
3.025,33.0439601867669,3.20070273225644,13.0269922750496,0.019318221085869,-0.0369284172124971,-0.00731474553850464,0.110366273632692,0.351215931136107,-0.0319810500422854,0.873363833562645,0.872886608915553,-0.00204168289479198,-0.00107631669566488,0.873125221239099,-0.000238612323545884,4009.19748643248,-1182.00344495501,1737.40077517336,0,1,35.663010676878,0.375524245811958,0.0898694517635824
3.05,33.061096370372,3.229093042675,13.0184942867891,0.0177047595959831,-0.0371859994177145,-0.00635879053603302,0.110729255985702,0.350313934917993,-0.0322708976401375,0.873313378818237,0.872860743716961,-0.00198824714230128,-0.000994191008551578,0.873087061267599,-0.000226317550638233,4012.91486384557,-1160.42490716948,1763.88554851896,0,1,35.6783453734116,0.375124867382586,0.0906297009692391
3.075,33.07848440796,3.25617967632561,13.0100182264882,0.0161225946680743,-0.0374296287979729,-0.00538827955215471,0.111060947204309,0.349403142517581,-0.0325362376258325,0.873264405369859,0.872836896735165,-0.0019243769653977,-0.000915046457934963,0.873050651052512,-0.000213754317346937,4015.76101871613,-1139.64352281926,1788.6607931246,0,1,35.6938287532414,0.374723757973276,0.0913522907899204
3.1,33.0961232788787,3.2819573503437,13.0015772322714,0.0145705858087545,-0.0376595760868894,-0.0044041774462755,0.111362219548589,0.348483835236643,-0.0327766492804788,0.873217145802791,0.872814989312943,-0.00185220560041563,-0.000839172018621376,0.873016067557867,-0.00020107824492438,4017.78535860002,-1119.6509127148,1811.7667187875,0,1,35.7094613606384,0.374321282217258,0.0920371042103128
3.125,33.1140119277234,3.30642134751722,12.9931839909559,0.013047607824676,-0.0378761178567078,-0.0034074261260212,0.111633906158879,0.347556292193163,-0.0329917382162769,0.873171782474954,0.872794936539935,-0.00177362719650295,-0.000766783737593429,0.872983359507445,-0.00018842296750915,4019.03486961488,-1100.43350996745,1833.24300532302,0,1,35.7252437122486,0.373917792986614,0.0926840415349857
