caseName,validPeakRollMomentNm,validPeakYawMomentNm,fullPeakRollMomentNm,fullPeakYawMomentNm,firstEnvelopeViolationTime
symmetric_nacelle_step,1.01786047692943e-10,5.15951901622897e-11,1.01786047692943e-10,5.15951901622897e-11,NaN
differential_nacelle_step,2708.08668791438,3826.33271056749,2708.08668791438,3826.33271056749,NaN
left_command_delay,4228.92988750376,1984.22919065677,4228.92988750376,1984.22919065677,NaN
left_kinematic_lock,6602.78634574148,3779.65527631215,6602.78634574148,6990.29288673339,3.2625
