Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31
2.85,32.5081011518984,0.0015516876009886,2.8325392171164e-05,4.04653892175872e-08,5.99851824293664e-05,0.000113485889057085,0.379627042978336,8.17863579849571e-05,0.785398163397448,0,32.5081027705783,0.00155168706333217,2.83253880764233e-05,-8.8549808156334e-17,5.99852005888262e-05,0.000113485894457012,0.37962696762878,8.1786374196422e-05,0.785398163397448,0,-1.61867990300379e-06,5.37656427625904e-10,4.09474064627224e-12,4.0465389306137e-08,-1.81594598231793e-11,-5.39992788710971e-12,7.53495563721174e-08,-1.62114648826405e-11,0,0
2.9,32.5081011088247,0.0015596002575667,2.74934636281132e-05,3.99533840897204e-08,6.11658147033037e-05,0.00011608982641993,0.379627044641277,8.50473454600905e-05,0.785398163397448,0,32.5081027705783,0.00155959968593905,2.74934593782478e-05,-8.9426166860485e-17,6.11658330956526e-05,0.000116089831624114,0.37962696762878,8.50473623295551e-05,0.785398163397448,0,-1.66175362892318e-06,5.71627644524453e-10,4.24986547418581e-12,3.99533841791466e-08,-1.83923488960604e-11,-5.20418425150812e-12,7.70124974347475e-08,-1.68694645654843e-11,0,0
2.95,32.5081010658222,0.00156620528751646,2.6660455975153e-05,3.94286085673555e-08,6.23425370410998e-05,0.000118675642771787,0.379627046263486,8.83717944690055e-05,0.785398163397448,0,32.5081027705783,0.00156620468132022,2.6660451584286e-05,-9.02624737058354e-17,6.23425556439718e-05,0.000118675647765823,0.37962696762878,8.83718120033913e-05,0.785398163397448,0,-1.70475611582788e-06,6.06196237304402e-10,4.39086705769599e-12,3.9428608657618e-08,-1.86028719419964e-11,-4.99403655636419e-12,7.86347060244275e-08,-1.75343858085496e-11,0,0
3,32.5081010228969,0.00157150785318635,2.58274954838432e-05,3.88937477148998e-08,6.35145922145873e-05,0.000121243227508465,0.379627047844169,9.17594742200405e-05,0.785398163397448,0,32.5081027705783,0.00157150721187099,2.58274909666397e-05,-9.10599504082219e-17,6.35146110048777e-05,0.000121243232278271,0.37962696762878,9.17594924253328e-05,0.785398163397448,0,-1.74768143068604e-06,6.41315364311931e-10,4.517203410913e-12,3.88937478059597e-08,-1.87902903414812e-11,-4.76980552223307e-12,8.02153888868062e-08,-1.82052922948405e-11,0,0
3.05,32.5081009800531,0.00157551498628094,2.49956546869661e-05,3.83513960013062e-08,6.46812201939307e-05,0.000123792509802454,0.379627049382674,9.52101130477198e-05,0.785398163397448,0,32.5081027705783,0.00157551430934399,2.49956500583671e-05,-9.18198858953991e-17,6.46812391477317e-05,0.000123792514334289,0.37962696762878,9.52101319289182e-05,0.785398163397448,0,-1.79052514681644e-06,6.76936944433298e-10,4.62859898046658e-12,3.83513960931261e-08,-1.89538010395181e-11,-4.53183560014496e-12,8.17538947095464e-08,-1.88811984710296e-11,0,0
3.1,32.508100937294,0.00157823556458199,2.41659556714429e-05,3.78040528932169e-08,6.58416605759589e-05,0.000126323455972712,0.379627050878489,9.87233983293224e-05,0.785398163397448,0,32.5081027705783,0.00157823485157017,2.41659509468513e-05,-9.25436303554616e-17,6.58416796686882e-05,0.000126323460253194,0.37962696762878,9.87234178903924e-05,0.785398163397448,0,-1.83328427283413e-06,7.13011822977769e-10,4.72459163195697e-12,3.78040529857605e-08,-1.90927293099901e-11,-4.28048202894167e-12,8.32497094038764e-08,-1.95610699404818e-11,0,0
3.15,32.5081008946211,0.00157968028582314,2.333937299209e-05,3.72541189413023e-08,6.69951548729233e-05,0.00012883606705606,0.379627052331232,0.000102298976528278,0.785398163397448,0,32.5081027705783,0.00157967953633337,2.33393681872306e-05,-9.32325892623779e-17,6.69951740793169e-05,0.00012883607107218,0.37962696762878,0.000102298996772103,0.785398163397448,0,-1.87595719580713e-06,7.49489774496542e-10,4.80485945559476e-12,3.72541190345349e-08,-1.9206393582754e-11,-4.01611992902236e-12,8.47024519412543e-08,-2.0243824804954e-11,0,0
3.2,32.5081008520347,0.00157986163880706,2.25168362449626e-05,3.67038923790298e-08,6.81409486704323e-05,0.000131330376559566,0.379627053740649,0.000105936453357127,0.785398163397448,0,32.5081027705783,0.00157986085248731,2.25168313757663e-05,-9.38882174070813e-17,6.81409679645828e-05,0.000131330380298694,0.37962696762878,0.000105936474285461,0.785398163397448,0,-1.91854361730748e-06,7.86319753016615e-10,4.86919633099444e-12,3.6703892472918e-08,-1.92941505328982e-11,-3.73912844588674e-12,8.61118693018526e-08,-2.09283348436657e-11,0,0
3.25,32.5081008095338,0.0015787938718543,2.16992323365016e-05,3.6155566223001e-08,6.9278293663054e-05,0.000133806448375327,0.379627055106611,0.000109635394053239,0.785398163397448,0,32.5081027705783,0.00157879304840443,2.16992274192616e-05,-9.45120129605173e-17,6.92783130184553e-05,0.000133806451825218,0.37962696762878,0.000109635415666663,0.785398163397448,0,-1.96104448946244e-06,8.23449871007256e-10,4.91724006347963e-12,3.6155566317513e-08,-1.93554013284579e-11,-3.44989165815442e-12,8.74778314785551e-08,-2.16134243884386e-11,0,0
3.3,32.5081007671163,0.0015764929586747,2.0887407481876e-05,3.56112259293004e-08,7.04064495748637e-05,0.000136264374840926,0.379627056429106,0.000113395323760922,0.785398163397448,0,32.5081027705783,0.00157649209784727,2.08874025332367e-05,-9.51055115930734e-17,7.04064689645355e-05,0.000136264377989748,0.37962696762878,0.000113395346058801,0.785398163397448,0,-2.00346194390022e-06,8.60827427569266e-10,4.94863929361941e-12,3.56112260244059e-08,-1.93896717800603e-11,-3.14882224027729e-12,8.88003263699311e-08,-2.22978789295517e-11,0,0
3.35,32.508100724779,0.00157297656175324,2.00821689616279e-05,3.5072847472716e-08,7.15246859718667e-05,0.000138704274930644,0.379627057708234,0.000117215728013923,0.785398163397448,0,32.5081027705783,0.00157297566335415,2.00821639984802e-05,-9.56702806729164e-17,7.15247053682943e-05,0.000138704277766976,0.37962696762878,0.000117215750994364,0.785398163397448,0,-2.04579923490655e-06,8.98399097953514e-10,4.96314778215975e-12,3.50728475683863e-08,-1.93964276335324e-11,-2.83633172829499e-12,9.00794544511641e-08,-2.29804405891968e-11,0,0
